Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Hold On,Wilson Phillips,Wilson Phillips,1990,1990-01-01,266866,68,0.679,0.4,0.679,0.657,0.0,0.0497,-9.897,0.0255,97.8,4
"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,1990,1990-05-20,258786,76,0.52,0.34,0.52,0.652,5.49E-05,0.256,-6.655,0.0274,80.609,4
Nothing Compares 2 U,So Far: The Best of Sinéad O'Connor,Sinéad O'Connor,1990,1997-11-10,280040,50,0.511,0.0425,0.511,0.574,2.33E-05,0.105,-7.016,0.0273,119.917,4
Poison,Poison,Bell Biv DeVoe,1990,1990-01-01,261853,66,0.84,0.00195,0.84,0.56,0.00417,0.633,-10.53,0.21,111.815,4
Vogue - Edit,I'm Breathless,Madonna,1990,1990-03-22,289560,52,0.69,0.0109,0.69,0.817,0.00276,0.103,-10.137,0.0478,116.211,4
Vision of Love,#1 to Infinity,Mariah Carey,1990,2015,209760,28,0.258,0.479,0.258,0.623,2.2E-06,0.111,-5.031,0.0377,205.467,3
Another Day in Paradise - 2016 Remaster,...But Seriously (2016 Remaster),Phil Collins,1990,1989-11-20,323040,48,0.781,0.731,0.781,0.576,0.00264,0.0561,-6.947,0.0311,101.985,4
Hold On,Born to Sing,En Vogue,1990,1990-04-03,304466,56,0.728,0.0865,0.728,0.464,0.0,0.343,-11.156,0.0605,96.944,4
Cradle of Love,Charmed Life,Billy Idol,1990,1990,281493,0,0.603,0.0037,0.603,0.939,0.0,0.0651,-5.498,0.0398,144.052,4
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Blaze Of Glory,Jon Bon Jovi,1990,1990-01-01,335240,65,0.55,0.0564,0.55,0.618,2.62E-05,0.0937,-9.822,0.0307,78.61,4
Do Me!,Poison,Bell Biv DeVoe,1990,1990-01-01,272440,47,0.716,0.134,0.716,0.772,2.15E-06,0.35,-6.816,0.037,107.823,4
How Am I Supposed to Live Without You,Soul Provider,Michael Bolton,1990,1989-06-27,255666,70,0.541,0.191,0.541,0.44,0.0,0.114,-12.206,0.031,140.273,4
Pump Up The Jam,Pump Up The Jam,Technotronic,1990,1989,320306,66,0.885,0.0147,0.885,0.844,4.49E-06,0.0494,-9.225,0.0733,124.602,4
Opposites Attract,Forever Your Girl,Paula Abdul,1990,1988-01-01,265373,52,0.783,0.0337,0.783,0.842,2.57E-06,0.0519,-8.838,0.054,117.79,4
Escapade,Rhythm Nation 1814,Janet Jackson,1990,1989-09-19,283933,53,0.806,0.0259,0.806,0.954,0.000617,0.176,-6.741,0.0514,115.229,4
All I Wanna Do Is Make Love To You,Brigade,Heart,1990,1990-03-25,310893,67,0.626,0.16,0.626,0.746,0.0,0.0618,-8.832,0.0282,102.896,4
Close To You,Bonafide,Maxi Priest,1990,1990-01-01,325800,53,0.781,0.0849,0.781,0.478,3.93E-06,0.0877,-15.427,0.0561,95.992,4
Black Velvet,Alannah Myles,Alannah Myles,1990,1989-03-14,287440,71,0.754,0.273,0.754,0.366,9.04E-05,0.106,-10.07,0.0312,91.147,4
Release Me,Wilson Phillips,Wilson Phillips,1990,1990-01-01,295693,51,0.724,0.448,0.724,0.471,2.5E-06,0.218,-11.143,0.0358,97.211,4
Don't Know Much (feat. Aaron Neville) - 2015 Remaster,Greatest Hits,Linda Ronstadt,1990,2015-08-21,213640,40,0.397,0.66,0.397,0.305,4.29E-05,0.132,-10.696,0.0322,131.777,4
(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,1991,1991-09-24,394133,65,0.526,0.0775,0.526,0.365,1.35E-05,0.0618,-12.605,0.028,131.253,4
I Wanna Sex You Up - Single Mix,New Jack City (Music from the Motion Picture),Various Artists,1991,1991-03-05,236946,55,0.551,0.00549,0.551,0.591,6.55E-06,0.0416,-8.404,0.12,201.799,4
Gonna Make You Sweat (Everybody Dance Now),Gonna Make You Sweat,C & C Music Factory,1991,1990-12-18,243693,57,0.557,0.0018,0.557,0.74,0.422,0.148,-10.999,0.0879,114.379,4
Rush Rush,Spellbound,Paula Abdul,1991,1991-01-01,292933,62,0.706,0.763,0.706,0.44,0.0,0.0958,-11.577,0.0493,90.012,4
One More Try,Time After Time,Timmy T,1991,1990-03-15,209426,47,0.641,0.191,0.641,0.573,0.0,0.317,-9.198,0.0485,149.826,5
Unbelievable,Schubert Dip,EMF,1991,1991-05-07,209813,0,0.637,0.000341,0.637,0.849,0.0386,0.141,-6.855,0.0362,104.074,4
More Than Words,Extreme II - Pornograffitti,Extreme,1991,1990-01-01,334106,66,0.626,0.467,0.626,0.134,0.0,0.113,-14.898,0.0298,91.893,4
I Like The Way,Greatest Hits,Hi-Five,1991,1990,350266,54,0.724,0.0595,0.724,0.692,0.0108,0.0316,-5.109,0.0333,104.086,4
The First Time,The First Time: The Best Of Surface,Surface,1991,1986,256000,29,0.637,0.215,0.637,0.354,0.000704,0.0961,-11.964,0.0283,126.435,4
"Baby, Baby",Heart In Motion,Amy Grant,1991,1991,236973,61,0.702,0.426,0.702,0.901,0.00153,0.0368,-4.45,0.0264,97.862,4
Motownphilly,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1991,2003-10-07,235320,52,0.746,0.0146,0.746,0.852,3.02E-05,0.26,-9.676,0.0606,114.165,4
Because I Love You,Stevie B: The Greatest Hits,Stevie B,1991,2004,260026,0,0.402,0.666,0.402,0.351,0.0,0.13,-10.281,0.033,125.471,4
Someday,Greatest Hits,Mariah Carey,1991,2001-12-04,246706,28,0.685,0.165,0.685,0.874,0.0,0.0189,-6.508,0.0419,109.861,4
