Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
High Enough,Damn Yankees,Damn Yankees,1991,1990,287320,60,0.273,0.0241,0.273,0.537,0.0,0.0922,-9.612,0.0306,81.814,4
From a Distance,Some People's Lives,Bette Midler,1991,1990,276346,57,0.536,0.674,0.536,0.242,0.0,0.331,-11.716,0.0277,137.989,4
All The Man That I Need,I'm Your Baby Tonight,Whitney Houston,1991,1990-11-04,251426,54,0.496,0.43,0.496,0.571,0.0,0.0332,-9.958,0.0335,150.944,4
Right Here Right Now,Doubt,Jesus Jones,1991,1991-01-28,189293,55,0.657,0.0088,0.657,0.608,3.45E-06,0.103,-13.565,0.0287,106.862,4
I Adore Mi Amor,C.M.B.,Color Me Badd,1991,1991-07-23,289200,43,0.683,0.243,0.683,0.476,0.0,0.0786,-9.995,0.027,91.989,4
Love Will Never Do (Without You),Rhythm Nation 1814,Janet Jackson,1991,1989-09-19,350000,47,0.739,0.139,0.739,0.951,0.0062,0.462,-8.863,0.0496,103.17,4
Good Vibrations,Music For The People,Marky Mark And The Funky Bunch,1991,1991,269306,61,0.711,0.00189,0.711,0.951,0.366,0.0229,-8.406,0.0537,121.656,4
End Of The Road,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1992,2003-10-07,348893,47,0.64,0.067,0.64,0.421,0.0,0.0614,-9.298,0.0246,74.836,3
Baby Got Back,Mack Daddy,Sir Mix-A-Lot,1992,1992-01-01,262826,0,0.937,0.00533,0.937,0.654,1.26E-06,0.0542,-11.187,0.322,128.462,4
Jump,Totally Krossed Out,Kris Kross,1992,1992-03-17,195106,66,0.749,0.000501,0.749,0.745,0.00403,0.333,-10.625,0.164,101.972,4
Save The Best For Last,The Comfort Zone,Vanessa Williams,1992,1991-01-01,218733,55,0.528,0.641,0.528,0.234,0.0,0.183,-15.784,0.0283,95.911,4
Baby-Baby-Baby,Ooooooohhh... On The TLC Tip,TLC,1992,1992-02-25,315040,52,0.679,0.0913,0.679,0.597,0.000673,0.0487,-8.601,0.0439,184.174,4
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,1992,1992-08-25,280000,72,0.695,0.8,0.695,0.336,0.00264,0.701,-12.999,0.0313,79.109,4
My Lovin' (You're Never Gonna Get It),Funky Divas,En Vogue,1992,1992-03-24,281613,57,0.767,0.0318,0.767,0.839,9.31E-06,0.111,-5.519,0.0613,98.055,4
Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1992,1991-09-24,264306,81,0.559,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
All 4 Love,C.M.B.,Color Me Badd,1992,1991-07-23,211493,52,0.807,0.0347,0.807,0.75,0.00017,0.149,-8.29,0.0315,106.389,4
Just Another Day,Jon Secada,Jon Secada,1992,1992-01-01,327426,63,0.717,0.0194,0.717,0.642,0.000249,0.043,-10.727,0.0287,105.894,4
I Love Your Smile,Inner Child,Shanice,1992,1991-11-19,257973,59,0.722,0.00955,0.722,0.842,8.45E-06,0.178,-8.745,0.126,93.954,4
To Be With You,Lean Into It,Mr. Big,1992,1991,208400,0,0.696,0.35,0.696,0.294,0.0,0.129,-12.563,0.0497,83.562,4
I'm Too Sexy,Up,Right Said Fred,1992,1992-01-07,170466,60,0.683,4.91E-05,0.683,0.739,0.0122,0.293,-12.831,0.0495,122.113,4
Black or White - Single Version,The Essential Michael Jackson,Michael Jackson,1992,2005-07-19,202853,65,0.741,0.0814,0.741,0.894,0.0527,0.089,-3.826,0.0496,114.879,4
Achy Breaky Heart,Some Gave All,Billy Ray Cyrus,1992,1992,203373,66,0.8,0.051,0.8,0.563,0.0,0.0797,-10.209,0.0303,121.808,4
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992",MTV Unplugged EP,Mariah Carey,1992,1992-04-30,282373,44,0.404,0.687,0.404,0.498,0.0,0.725,-9.855,0.0338,81.951,4
November Rain,Use Your Illusion I,Guns N' Roses,1992,1991-09-17,536066,80,0.294,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759,4
Life Is A Highway,Mad Mad World,Tom Cochrane,1992,1992,266560,64,0.683,0.0681,0.683,0.751,8.36E-06,0.248,-10.184,0.0346,103.036,4
Remember the Time,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,1992,1995-06-16,239626,52,0.834,0.128,0.834,0.908,0.00382,0.181,-3.404,0.0646,107.931,4
Finally,Finally,CeCe Peniston,1992,1992-01-01,245000,63,0.791,0.00653,0.791,0.658,0.0,0.0472,-11.128,0.0445,120.066,4
I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1993,1992-11-17,271093,77,0.306,0.844,0.306,0.214,5.3E-06,0.0839,-12.518,0.0356,66.98,4
Whoomp! (There It Is),Whoomp! (There It Is),Tag Team,1993,2012-03-07,225266,0,0.798,0.00138,0.798,0.649,0.0,0.0792,-7.392,0.0411,129.422,4
(I Can't Help) Falling In Love With You,Promises And Lies,UB40,1993,1993-01-01,207440,68,0.642,0.0444,0.642,0.722,0.00388,0.122,-13.031,0.0375,172.406,4
That's The Way Love Goes,Janet,Janet Jackson,1993,1993-05-18,265106,66,0.703,0.302,0.703,0.7,0.471,0.0718,-6.789,0.0693,97.675,4
Freak Me,Lose Control,Silk,1993,1992,274533,58,0.697,0.0295,0.697,0.608,0.0,0.276,-10.976,0.0463,133.879,4
Weak,It's About Time,SWV,1993,1992-10-27,291906,66,0.693,0.107,0.693,0.533,0.0,0.0695,-10.954,0.0402,127.661,4
If I Ever Fall In Love,If I Ever Fall In Love,Shai,1993,1992-01-01,189026,57,0.402,0.758,0.402,0.205,0.0,0.147,-11.232,0.038,143.994,4
Dreamlover,Music Box,Mariah Carey,1993,1993-08-04,232960,59,0.701,0.18,0.701,0.705,0.0,0.141,-6.18,0.0357,100.669,4
Rump Shaker,Hard Or Smooth,Wreckx-N-Effect,1993,1992-01-01,312360,55,0.888,0.0025,0.888,0.822,0.0197,0.303,-6.843,0.219,102.753,4
Informer,12 Inches Of Snow,Snow,1993,1993,268910,63,0.763,0.0984,0.763,0.742,0.0,0.38,-10.975,0.188,98.145,4
In The Still Of The Nite (I'll Remember),The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1993,2003-10-07,169493,27,0.517,0.783,0.517,0.218,0.0,0.137,-13.662,0.0381,78.118,4
Don't Walk Away,Jade To The Max,Jade,1993,1992-11-13,216373,61,0.831,0.147,0.831,0.915,0.00571,0.196,-7.501,0.128,102.979,4
Knockin' da Boots,Fever for da Flavor,H-Town,1993,1993-01-28,330945,62,0.726,0.155,0.726,0.501,0.0,0.0893,-13.884,0.154,128.099,4
Lately,Uptown MTV Unplugged,Various Artists,1993,1993-01-01,373626,0,0.377,0.631,0.377,0.315,0.0,0.946,-12.641,0.0619,126.168,4
Dazzey Duks,Dazzey Duks,Duice,1993,1992-03-18,244866,32,0.884,0.000925,0.884,0.464,4.36E-06,0.0366,-12.876,0.222,132.172,4
Show Me Love,Show Me Love,Robin S,1993,1993-06-15,252106,68,0.811,0.014,0.811,0.833,2.06E-05,0.0769,-4.259,0.153,120.258,4
A Whole New World (Aladdin's Theme),Aladdin (Original Motion Picture Soundtrack),Various Artists,1993,1992-01-01,250400,55,0.538,0.636,0.538,0.189,0.0,0.174,-17.13,0.0344,107.829,4
If,Janet,Janet Jackson,1993,1993-05-18,271640,52,0.653,0.0374,0.653,0.976,0.00173,0.561,-5.173,0.0797,105.575,4
I'm So Into You,It's About Time,SWV,1993,1992-10-27,278333,63,0.85,0.0624,0.85,0.513,0.00249,0.0689,-10.663,0.0513,99.01,4
The Sign,The Sign,Ace of Base,1994,1993-12-24,191240,70,0.808,0.00928,0.808,0.786,0.0701,0.0574,-6.897,0.0447,96.987,4
I Swear,All-4-One,All-4-One,1994,1994-01-01,259853,67,0.532,0.235,0.532,0.407,0.0,0.117,-9.658,0.0233,83.207,4
I'll Make Love To You,II,Boyz II Men,1994,1994-01-01,236773,63,0.567,0.0995,0.567,0.501,0.0,0.0986,-8.038,0.0241,142.589,3
The Power of Love - Radio Edit,The Essential Celine Dion,Céline Dion,1994,2008,288320,0,0.538,0.394,0.538,0.549,0.000363,0.189,-7.737,0.0305,140.067,4
Hero,Music Box,Mariah Carey,1994,1993-08-04,257733,72,0.501,0.735,0.501,0.378,0.0,0.119,-9.37,0.029,119.987,4
Stay,Tails,Lisa Loeb & Nine Stories,1994,1995-01-01,183760,60,0.676,0.454,0.676,0.592,0.0,0.107,-6.887,0.0452,80.316,4
Breathe Again,Toni Braxton,Toni Braxton,1994,1993-07-12,269173,60,0.689,0.0704,0.689,0.677,0.0,0.0877,-6.36,0.0326,153.919,4
All for Love,If We Fall in Love Tonight,Rod Stewart,1994,1996-11-12,281200,70,0.51,0.125,0.51,0.44,0.0,0.0994,-11.015,0.0293,74.8,4
All That She Wants,Happy Nation (U.S. Version),Ace of Base,1994,1994-01-01,211213,0,0.707,0.00529,0.707,0.628,8.76E-05,0.104,-9.683,0.0878,187.538,4
Don't Turn Around,The Sign,Ace of Base,1994,1993-12-24,230186,56,0.745,0.00104,0.745,0.771,0.387,0.0574,-8.231,0.0755,95.623,4
Bump n' Grind,12 Play,R. Kelly,1994,1993-11-07,256133,61,0.621,0.0984,0.621,0.481,0.0,0.241,-8.016,0.0371,65.004,4
Again,Janet,Janet Jackson,1994,1993-05-18,227133,60,0.359,0.882,0.359,0.287,0.00607,0.186,-9.51,0.0303,130.135,4
I'll Remember (Theme from the Motion Picture With Honors),With Honors (Music From The Motion Picture Soundtrack),Various Artists,1994,1994-03-18,263813,26,0.691,0.625,0.691,0.598,0.0174,0.0709,-9.699,0.043,167.797,4
Whatta Man,Very Necessary,Salt-N-Pepa,1994,1993-01-01,308360,0,0.754,0.164,0.754,0.551,3.43E-05,0.185,-10.614,0.244,173.1,4
Wild Night,Dance Naked,John Mellencamp,1994,1994,207506,47,0.665,0.0695,0.665,0.888,0.00147,0.104,-4.433,0.0552,144.339,4
Without You,Music Box,Mariah Carey,1994,1993-08-04,213666,71,0.576,0.323,0.576,0.526,2.01E-06,0.0548,-8.524,0.0325,122.06,4
Never Forget You,Music Box,Mariah Carey,1994,1993-08-04,225706,43,0.525,0.2,0.525,0.533,0.0,0.198,-7.419,0.0289,149.923,3
You Mean the World to Me,Toni Braxton,Toni Braxton,1994,1993-07-12,296400,47,0.595,0.0964,0.595,0.736,9.28E-06,0.104,-6.648,0.0469,167.669,4
"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",The Lion King,Various Artists,1994,1994-01-01,241013,66,0.309,0.87,0.309,0.181,0.000279,0.118,-17.022,0.0337,124.711,4
Fantastic Voyage,It Takes a Thief,Coolio,1994,1994-07-19,334440,57,0.888,0.0389,0.888,0.584,3.25E-06,0.0625,-13.308,0.112,104.704,4
Believe,Believe,Cher,1995,1998,239026,76,0.652,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,132.975,4
No Scrubs,Fanmail,TLC,1995,1999-02-23,214400,79,0.743,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,92.909,4
Angel of Mine,The Boy Is Mine,Monica,1995,1998-07-13,250173,66,0.592,0.00373,0.592,0.562,3.23E-05,0.223,-6.869,0.0239,90.16,4
Heartbreak Hotel (feat. Faith Evans & Kelly Price),My Love Is Your Love,Whitney Houston,1995,1998-11-17,281493,53,0.724,0.0477,0.724,0.535,0.0,0.0314,-7.616,0.0588,133.816,4
...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,1995,1999-01-12,211066,77,0.759,0.202,0.759,0.699,0.000131,0.443,-5.745,0.0307,92.96,4
Kiss Me,Sixpence None The Richer,Sixpence None The Richer,1995,1997,208680,0,0.526,0.023,0.526,0.749,1.76E-06,0.0692,-6.964,0.0283,99.982,4
Genie in a Bottle,Christina Aguilera,Christina Aguilera,1995,1999-07-15,217133,0,0.633,0.185,0.633,0.792,0.000185,0.152,-6.968,0.149,175.795,4
Every Morning,14:59,Sugar Ray,1995,1998-12-23,219866,64,0.833,0.0834,0.833,0.679,0.00258,0.0769,-4.496,0.0365,109.916,4
Nobody's Supposed to Be Here,One Wish,Deborah Cox,1995,1998-09-17,262333,57,0.662,0.202,0.662,0.531,1.16E-05,0.595,-5.3,0.0361,119.957,4
Livin' la Vida Loca,The Greatest Hits,Ricky Martin,1995,2011,243373,43,0.417,0.00463,0.417,0.956,0.0,0.0725,-3.771,0.055,178.119,4
Where My Girls At,702,702,1995,1999-01-01,166693,59,0.705,0.0352,0.705,0.725,0.0149,0.194,-7.435,0.0506,92.186,4
If You Had My Love,On The 6,Jennifer Lopez,1995,1999-06-01,266000,63,0.68,0.0645,0.68,0.625,5.81E-05,0.109,-7.0,0.0353,94.02,4
Slide,Dizzy up the Girl,The Goo Goo Dolls,1995,1998-09-11,212066,70,0.395,0.00483,0.395,0.843,0.0,0.0404,-4.476,0.0374,112.423,4
Have You Ever,Never Say Never,Brandy,1995,1998-05-29,273440,61,0.698,0.542,0.698,0.533,0.0,0.333,-6.246,0.0437,134.001,4
I Want It That Way,Millennium,Backstreet Boys,1995,1999-05-18,213306,79,0.689,0.257,0.689,0.694,0.0,0.148,-5.83,0.027,99.039,4
I'm Your Angel (with Céline Dion),R.,R. Kelly,1995,1996,332066,52,0.62,0.669,0.62,0.504,0.0,0.11,-7.26,0.0301,112.681,4
All Star,Astro Lounge,Smash Mouth,1995,1999-06-08,200373,79,0.731,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,104.019,4
Angel,Surfacing,Sarah McLachlan,1995,1997-08-29,270400,69,0.532,0.949,0.532,0.0744,1.22E-05,0.106,-16.092,0.0355,117.131,3
Smooth (feat. Rob Thomas),Supernatural (Remastered),Santana,1995,1999-06-15,294986,69,0.609,0.16,0.609,0.923,4.73E-06,0.295,-3.908,0.0338,115.996,4
Unpretty,Fanmail,TLC,1995,1999-02-23,278066,62,0.648,0.00152,0.648,0.622,5.97E-05,0.109,-6.063,0.0428,88.684,4
Too Close,Rated Next,Next,1996,1997-09-30,259440,66,0.847,0.0118,0.847,0.402,0.0,0.283,-9.952,0.0641,99.693,4
The Boy Is Mine,Never Say Never,Brandy,1996,1998-05-29,294786,68,0.704,0.539,0.704,0.707,0.00106,0.318,-6.537,0.0391,93.145,4
You're Still The One,Come On Over,Shania Twain,1996,1997,212560,1,0.551,0.45,0.551,0.527,0.0,0.0867,-7.119,0.0302,133.758,4
Truly Madly Deeply,Savage Garden,Savage Garden,1996,1997-03-04,277266,74,0.555,0.403,0.555,0.698,0.0,0.0851,-8.874,0.0287,168.12,4
How Do I Live,Greatest Hits,LeAnn Rimes,1996,2003-11-18,266973,69,0.577,0.128,0.577,0.462,0.0,0.0822,-7.989,0.0279,128.303,4
Together Again,The Velvet Rope,Janet Jackson,1996,1997-10-07,301200,68,0.873,0.078,0.873,0.593,0.00697,0.104,-8.942,0.103,123.091,4
All My Life,Love Always,K-Ci & JoJo,1996,1997-01-01,331240,70,0.629,0.114,0.629,0.511,3.91E-06,0.0588,-8.651,0.0326,128.038,4
Candle In The Wind 1997,Candle In The Wind 1997 / Something About ...,Elton John,1996,1997-01-01,250106,56,0.45,0.977,0.45,0.311,0.00713,0.167,-8.175,0.0314,125.648,4
Nice & Slow - Live,Live,Usher,1996,1999-03-23,390760,21,0.499,0.102,0.499,0.713,1.1E-05,0.909,-10.036,0.19,121.86,4
I Don't Want to Wait,This Fire,Paula Cole,1996,1996,320026,60,0.41,0.298,0.41,0.468,1.19E-05,0.0426,-8.177,0.0553,177.508,4
How's It Going to Be,Third Eye Blind,Third Eye Blind,1996,1997-04-08,253413,65,0.562,0.00327,0.562,0.593,0.00139,0.0967,-9.362,0.0263,80.289,4
"No, No, No, Pt. 1",Destiny's Child,Destiny's Child,1996,1998-02-17,247040,43,0.694,0.19,0.694,0.368,0.0,0.14,-7.264,0.0655,60.117,4
"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,1996,1997-06-01,279760,0,0.19,0.699,0.19,0.276,2.77E-06,0.124,-11.697,0.0354,81.857,3
Gettin' Jiggy Wit It,Gettin' Jiggy Wit It,Will Smith,1996,1998,228493,0,0.866,0.0223,0.866,0.905,0.0,0.223,-3.759,0.144,107.874,4
You Make Me Wanna...,90 Sweet 90s Hits!,Various Artists,1996,2014-06-10,219546,42,0.761,0.0368,0.761,0.65,0.0,0.086,-6.865,0.0589,164.098,4
My Way,Live,Usher,1996,1999-03-23,217093,20,0.602,0.0363,0.602,0.725,0.0,0.863,-9.46,0.104,93.16,4
My All,Butterfly,Mariah Carey,1996,1997-09-03,230933,64,0.607,0.732,0.607,0.317,4.53E-05,0.086,-10.244,0.029,108.122,4
The First Night,The Boy Is Mine,Monica,1996,1998-07-13,235573,48,0.671,0.139,0.671,0.766,0.0,0.26,-9.218,0.0634,152.088,4
Been Around the World (feat. The Notorious B.I.G. & Mase),No Way Out,Diddy,1996,1997,325933,61,0.815,0.0191,0.815,0.529,0.0,0.406,-10.117,0.28,99.439,4
Adia,Surfacing,Sarah McLachlan,1996,1997-08-29,244666,56,0.526,0.722,0.526,0.37,0.0,0.157,-10.535,0.025,76.002,4
Something About The Way You Look Tonight - Edit Version,Candle In The Wind 1997 / Something About ...,Elton John,1997,1997-01-01,240546,57,0.48,0.174,0.48,0.628,3.28E-05,0.0753,-7.643,0.0262,143.412,4
Candle In The Wind 1997,Candle In The Wind 1997 / Something About ...,Elton John,1997,1997-01-01,250106,56,0.45,0.977,0.45,0.311,0.00713,0.167,-8.175,0.0314,125.648,4
Foolish Games,Pieces Of You,Jewel,1997,1995,340666,0,0.298,0.944,0.298,0.0735,0.000401,0.0976,-16.472,0.0378,131.045,4
You Were Meant For Me,Pieces Of You,Jewel,1997,1995,254480,0,0.582,0.791,0.582,0.33,1.48E-06,0.105,-7.928,0.0347,111.873,4
I'll Be Missing You (feat. Faith Evans & 112),No Way Out,Diddy,1997,1997,344813,48,0.709,0.548,0.709,0.347,0.00263,0.121,-9.055,0.0676,109.882,4
Un-Break My Heart,Secrets,Toni Braxton,1997,1996-04-24,270333,68,0.625,0.413,0.625,0.426,0.0,0.116,-8.392,0.0271,110.018,4
Can't Nobody Hold Me Down (feat. Mase),No Way Out,Diddy,1997,1997,231160,58,0.928,0.102,0.928,0.771,1.07E-05,0.338,-5.935,0.251,93.987,4
I Believe I Can Fly,R.,R. Kelly,1997,1998,321093,0,0.525,0.248,0.525,0.439,0.0,0.152,-7.581,0.0306,120.047,4
Don't Let Go (Love),EV3,En Vogue,1997,1997-06-17,291880,62,0.618,0.409,0.618,0.688,6.32E-06,0.3,-5.867,0.0477,78.311,4
Return of the Mack,Return of the Mack,Mark Morrison,1997,1996-04-22,213093,73,0.715,0.00631,0.715,0.833,0.0,0.164,-5.379,0.108,95.487,4
How Do I Live,Greatest Hits,LeAnn Rimes,1997,2003-11-18,266973,69,0.577,0.128,0.577,0.462,0.0,0.0822,-7.989,0.0279,128.303,4
Wannabe,Spice,Spice Girls,1997,1996-01-01,173026,79,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,110.008,4
Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys,1997,1996,233533,57,0.8,0.0615,0.8,0.875,2.79E-06,0.13,-4.952,0.0338,100.033,4
MMMBop - Single Version,The Best Of Hanson 20th Century Masters The Millennium Collection,Hanson,1997,2006-01-01,238733,55,0.692,0.0046,0.692,0.938,0.00412,0.0631,-6.767,0.0468,104.887,4
For You I Will,The Boy Is Mine,Monica,1997,1998-07-13,294866,58,0.652,0.243,0.652,0.473,0.0,0.134,-7.981,0.0313,123.208,4
You Make Me Wanna...,You Make Me Wanna... (Remix),Usher,1997,1997-08-12,220093,32,0.755,0.0419,0.755,0.639,0.0,0.0683,-7.499,0.0549,164.078,4
Bitch,Blurring The Edges,Meredith Brooks,1997,1997-01-01,252760,67,0.617,0.0112,0.617,0.886,9.63E-05,0.0523,-5.953,0.055,96.328,4
Nobody (feat. Athena Cage),Keith Sweat,Keith Sweat,1997,1996,264773,63,0.699,0.484,0.699,0.492,0.0,0.0482,-9.449,0.0318,117.907,4
Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997,1997-04-08,268360,74,0.64,0.00832,0.64,0.864,0.0,0.123,-6.576,0.0315,102.026,4
Barely Breathing,Duncan Sheik,Duncan Sheik,1997,1996,254546,59,0.482,0.0281,0.482,0.807,0.0,0.177,-6.976,0.0457,187.918,4
You're Makin' Me High,Secrets,Toni Braxton,1998,1996-04-24,267440,58,0.852,0.0117,0.852,0.563,1.96E-05,0.119,-8.663,0.0377,92.112,4
"Let It Flow - from ""Waiting to Exhale"" Original Soundtrack",Secrets,Toni Braxton,1998,1996-04-24,262373,44,0.66,0.507,0.66,0.489,0.0,0.0837,-7.618,0.0389,168.171,4
Twisted,Keith Sweat,Keith Sweat,1998,1996,260666,64,0.615,0.393,0.615,0.514,0.0,0.248,-9.759,0.0466,175.849,4
C'mon N' Ride It (The Train),Get On Up And Dance,Quad City DJ's,1998,1996-06-18,451440,50,0.843,0.0913,0.843,0.959,0.0,0.408,-4.933,0.0914,135.988,4
Missing,Amplified Heart + Extra Track,Everything But The Girl,1998,1994-06-13,247200,0,0.676,0.0812,0.676,0.486,6.08E-05,0.121,-10.457,0.0327,123.555,4
Ironic,Jagged Little Pill,Alanis Morissette,1998,1995-06-09,225933,57,0.495,0.246,0.495,0.595,0.0,0.236,-7.57,0.0443,85.341,4
Exhale - Shoop Shoop,Whitney The Greatest Hits,Whitney Houston,1998,2000-05-16,201573,0,0.656,0.43,0.656,0.429,0.0,0.158,-7.903,0.0307,137.952,4
