Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Back At One,Back At One,Brian McKnight,2000,1999-09-21,263666,71,0.661,0.452,0.661,0.346,0.0,0.131,-9.115,0.03,129.752,4
Breathe,Breathe,Faith Hill,2000,1999-11-09,250546,67,0.529,0.173,0.529,0.496,0.0,0.251,-9.007,0.029,136.859,4
Smooth (feat. Rob Thomas),Supernatural (Remastered),Santana,2000,1999-06-15,294986,69,0.609,0.16,0.609,0.923,4.73E-06,0.295,-3.908,0.0338,115.996,4
I Wanna Know,My Name Is Joe,Joe,2000,2000-04-18,296693,65,0.725,0.26,0.725,0.487,1.09E-05,0.431,-5.959,0.0368,136.086,4
Everything You Want,Everything You Want,Vertical Horizon,2000,1999-06-14,257066,64,0.637,0.0504,0.637,0.759,0.0,0.0642,-6.389,0.0305,93.898,4
Say My Name,The Writing's On The Wall,Destiny's Child,2000,1999-07-27,271333,76,0.713,0.273,0.713,0.678,0.0,0.149,-3.525,0.102,138.009,4
I Knew I Loved You,Affirmation,Savage Garden,2000,1999-11-09,250360,70,0.61,0.32,0.61,0.497,6.11E-05,0.0884,-9.88,0.0279,85.031,4
Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,2000,1999-06-15,261973,67,0.777,0.0406,0.777,0.601,0.00201,0.0348,-5.931,0.126,97.911,4
Amazed,Lonely Grill,Lonestar,2000,1999,240866,68,0.561,0.26,0.561,0.543,0.0,0.124,-8.498,0.0324,139.803,4
Try Again,IT - The Complete Fantasy Playlist,Various Artists,2000,2019-09-26,284000,59,0.798,0.0876,0.798,0.629,0.0,0.0914,-5.8,0.272,93.023,4
Bent,Mad Season,Matchbox Twenty,2000,2000-05-23,256133,55,0.518,0.0404,0.518,0.83,3.85E-06,0.375,-6.814,0.0386,95.468,4
He Wasn't Man Enough,The Heat,Toni Braxton,2000,2000,261933,68,0.739,0.00947,0.739,0.947,2.99E-05,0.326,-1.915,0.0412,88.009,4
Higher,Human Clay,Creed,2000,1999-01-01,316733,69,0.459,5.15E-05,0.459,0.83,0.00014,0.206,-6.254,0.0364,155.827,4
"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,2000,1999-07-27,230200,70,0.771,0.00543,0.771,0.685,0.00157,0.0537,-4.639,0.0567,88.997,4
