Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Born This Way,Born This Way (Special Edition),Lady Gaga,2011,2011-01-01,260253,67,0.587,0.00327,0.587,0.828,0.0,0.331,-5.108,0.161,123.907,4
F**kin' Perfect,Greatest Hits...So Far!!!,P!nk,2011,2010-11-12,213586,0,0.575,0.0383,0.575,0.648,0.0,0.364,-4.747,0.0333,92.021,4
What's My Name?,Loud,Rihanna,2011,2010-11-16,263173,56,0.69,0.229,0.69,0.786,0.0,0.0797,-2.959,0.0692,100.049,4
Somebody That I Used To Know,Making Mirrors,Gotye,2012,2011-01-01,244973,75,0.864,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,129.062,4
Call Me Maybe,Kiss (Deluxe),Carly Rae Jepsen,2012,2012-01-01,193400,69,0.783,0.0114,0.783,0.58,2.28E-06,0.108,-6.548,0.0408,120.021,4
We Are Young (feat. Janelle Monáe),Some Nights,fun.,2012,2012-02-21,250626,73,0.378,0.02,0.378,0.638,7.66E-05,0.0849,-5.576,0.075,184.086,4
Payphone,Overexposed,Maroon 5,2012,2012-01-01,231386,74,0.739,0.0136,0.739,0.756,0.0,0.37,-4.828,0.0394,110.028,4
Lights - Single Version,Lights,Ellie Goulding,2012,2010,211800,61,0.683,0.0283,0.683,0.789,0.0492,0.112,-6.132,0.0353,120.013,4
Glad You Came,The Wanted (Special Edition),The Wanted,2012,2012-01-01,198186,68,0.61,0.056,0.61,0.841,9.85E-06,0.118,-4.579,0.0692,126.889,4
Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,2012,2011-10-24,221946,66,0.562,0.046,0.562,0.939,0.0,0.112,-4.282,0.0475,116.044,4
We Found Love,Talk That Talk,Rihanna,2012,2011-11-19,215226,72,0.735,0.025,0.735,0.766,0.00138,0.108,-4.485,0.0383,127.985,4
Starships,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj,2012,2012-01-01,210626,64,0.747,0.135,0.747,0.716,0.0,0.251,-2.457,0.0751,125.006,4
What Makes You Beautiful,Up All Night,One Direction,2012,2012-05-25,198053,17,0.729,0.00761,0.729,0.771,0.0,0.087,-2.451,0.0725,125.011,4
Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012,2012-06-22,232946,76,0.608,0.0991,0.608,0.86,0.0,0.262,-5.324,0.0554,127.075,4
Set Fire to the Rain,21,Adele,2012,2011-01-19,241693,76,0.61,0.00382,0.61,0.683,1.79E-06,0.125,-3.879,0.0253,108.003,4
Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),LMFAO,2012,2011-01-01,199480,62,0.707,0.1,0.707,0.861,0.0,0.191,-4.225,0.316,130.021,4
Some Nights,Some Nights,fun.,2012,2012-02-21,277040,70,0.672,0.0178,0.672,0.738,6.75E-05,0.0927,-7.045,0.0506,107.938,4
Wide Awake,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012,2012-03-12,220946,68,0.514,0.0749,0.514,0.683,2.64E-06,0.392,-5.099,0.0367,159.814,4
Good Feeling,Wild Ones,Flo Rida,2012,2012-06-22,248133,74,0.706,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,128.011,4
Whistle,Wild Ones,Flo Rida,2012,2012-06-22,224653,77,0.747,0.0208,0.747,0.937,0.0,0.29,-5.746,0.0453,103.976,4
One More Night,Overexposed (Deluxe),Maroon 5,2012,2012-01-01,219466,66,0.718,0.0444,0.718,0.82,0.0,0.0846,-3.453,0.0323,92.998,4
Drive By,California 37,Train,2012,2012-04-17,195973,75,0.765,0.00107,0.765,0.837,1.06E-05,0.0801,-3.113,0.032,122.028,4
The Motto,The Motto (Explicit Version),Drake,2012,2012-01-01,181400,0,0.774,0.000146,0.774,0.431,1.99E-05,0.112,-8.407,0.346,201.843,4
