Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
The Night They Drove Old Dixie Down,Blessed Are...,Joan Baez,1971,206066,0.564,0.5579999999999999,0.35700000000000004,0.0,0.233,-12.752,0.0326,129.24200000000002,4,0
What's Going On,What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971,232600,0.265,0.0991,0.8240000000000001,0.0,0.359,-5.654,0.0991,203.206,4,0
The First Time Ever I Saw Your Face,First Take,Roberta Flack,1972,260666,0.311,0.731,0.0264,0.00205,0.156,-21.644000000000002,0.037000000000000005,120.65299999999999,4,0
Alone Again (Naturally),Back to Front,Gilbert O'Sullivan,1972,217728,0.5579999999999999,0.583,0.46399999999999997,0.000133,0.159,-8.488,0.0354,171.762,4,0
American Pie,American Pie,Don McLean,1972,516893,0.531,0.6990000000000001,0.48100000000000004,0.0,0.0842,-11.709000000000001,0.06,138.45,4,0
Without You,Everybody's Talkin': The Very Best of Harry Nilsson,Harry Nilsson,1972,202026,0.441,0.556,0.212,5.52e-06,0.0578,-13.657,0.0287,65.311,4,0
The Candy Man,20th Century Masters: The Millennium Collection: Best Of Sammy Davis Jr.,Sammy Davis Jr.,1972,192920,0.635,0.8170000000000001,0.53,0.00010800000000000001,0.341,-11.179,0.0333,131.188,4,0
I GOTCHA,"The Very Best of, Volume 2.",Joe Tex,1972,148813,0.84,0.182,0.856,0.000297,0.306,-11.277000000000001,0.32799999999999996,93.41,4,1
Lean on Me,Still Bill,Bill Withers,1972,258834,0.619,0.782,0.22,1.1900000000000001e-05,0.124,-13.843,0.0667,75.16,4,0
Baby Don't Get Hooked on Me,Baby Don't Get Hooked On Me,Mac Davis,1972,183933,0.495,0.26,0.307,5.21e-05,0.10300000000000001,-18.168,0.0403,80.97,4,0
Brand New Key,Beautiful People: The Greatest Hits of Melanie,Melanie,1972,144866,0.667,0.8170000000000001,0.41200000000000003,0.0,0.107,-7.544,0.0353,83.816,4,0
Daddy Don't You Walk So Fast - Re-Recorded In Stereo,The Best Of Wayne Newton Now,Wayne Newton,1972,198666,0.47200000000000003,0.467,0.503,0.0,0.155,-10.017999999999999,0.0272,152.72799999999998,4,0
Let's Stay Together,Let's Stay Together,Al Green,1972,199396,0.7559999999999999,0.57,0.397,0.0115,0.0542,-10.700999999999999,0.0522,101.985,4,0
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,186826,0.716,0.396,0.625,1.9699999999999998e-05,0.134,-11.369000000000002,0.0601,125.27600000000001,4,1
Oh Girl,The Ultimate Chi-Lites,The Chi-Lites,1972,217520,0.42200000000000004,0.29600000000000004,0.486,0.0,0.10800000000000001,-9.866,0.0282,134.58700000000002,4,0
My Ding-A-Ling - Live,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,Chuck Berry,1972,258426,0.7070000000000001,0.792,0.509,0.0,0.545,-8.289,0.243,121.81299999999999,4,0
(If Loving You Is Wrong) I Don't Want to Be Right,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972,216800,0.502,0.28300000000000003,0.451,0.0,0.154,-7.422999999999999,0.0438,140.474,4,0
Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,1972,187013,0.541,0.18899999999999997,0.45899999999999996,0.0274,0.099,-10.433,0.0297,171.165,4,0
"Betcha By Golly, Wow",The Very Best of the Stylistics ... And More!,The Stylistics,1972,198986,0.373,0.535,0.505,0.0,0.327,-7.8870000000000005,0.0285,141.14600000000002,4,0
I'll Take You There,The Very Best Of The Staple Singers,The Staple Singers,1972,196826,0.846,0.0904,0.595,1.96e-06,0.063,-8.372,0.0439,101.632,4,1
Ben - Single Version,Ben,Michael Jackson,1972,167386,0.435,0.9109999999999999,0.161,0.00021400000000000002,0.113,-10.84,0.0298,136.166,4,0
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tuneweaving,Tony Orlando & Dawn,1973,206253,0.5589999999999999,0.28300000000000003,0.615,0.0,0.0957,-12.27,0.0473,87.601,4,0
"Bad, Bad Leroy Brown",Photographs & Memories: His Greatest Hits,Jim Croce,1973,180506,0.6629999999999999,0.45899999999999996,0.8440000000000001,0.0,0.0701,-6.211,0.0421,148.013,4,1
Killing Me Softly with His Song,Killing Me Softly,Roberta Flack,1973,286920,0.47700000000000004,0.727,0.381,0.0,0.0615,-10.237,0.0342,121.568,4,0
Let's Get It On,Let's Get It On,Marvin Gaye,1973,290960,0.55,0.0392,0.611,0.0,0.0631,-10.657,0.0443,168.512,4,0
My Love - 1993 Digital Remaster,Red Rose Speedway,Paul McCartney,1973,247706,0.42100000000000004,0.255,0.326,0.0142,0.0787,-15.030999999999999,0.0339,120.228,4,0
Why Me,16 Biggest Hits,Kris Kristofferson,1973,207560,0.41600000000000004,0.643,0.191,1.33e-06,0.11599999999999999,-13.184000000000001,0.026000000000000002,82.088,3,2
Crocodile Rock,Don't Shoot Me I'm Only The Piano Player,Elton John,1973,235440,0.621,0.0263,0.8,1.51e-05,0.0591,-7.284,0.0344,149.91,4,1
