Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Fame - 1999 Remaster,Best of Bowie,David Bowie,1975,251800,0.7829999999999999,0.28600000000000003,0.6940000000000001,0.0214,0.0597,-7.854,0.0681,95.755,4,1
One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,1975,291685,0.655,0.0603,0.606,0.0789,0.0757,-10.385,0.0285,110.061,4,1
"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,1975,222266,0.8109999999999999,0.155,0.545,0.0853,0.156,-12.969000000000001,0.0579,105.911,4,1
Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,1975,197693,0.598,0.0422,0.6729999999999999,6.840000000000001e-05,0.289,-10.431,0.0693,102.035,4,1
Ballroom Blitz,Desolation Boulevard,Sweet,1975,246573,0.644,0.0821,0.799,0.0015400000000000001,0.055,-10.856,0.0598,108.381,4,1
Pick Up the Pieces,AWB,Average White Band,1975,239908,0.768,0.0548,0.853,0.13,0.0188,-5.915,0.0427,107.234,4,1
Don't Go Breaking My Heart,To Be Continued...,Elton John,1976,271133,0.742,0.177,0.863,5.59e-06,0.0699,-7.8229999999999995,0.038,131.19299999999998,4,1
Disco Lady,Eargasm,Johnnie Taylor,1976,267066,0.7190000000000001,0.0568,0.79,0.0,0.0573,-8.002,0.0521,103.751,4,1
"December, 1963 (Oh What a Night!)",The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1976,201093,0.727,0.057999999999999996,0.588,5.46e-06,0.0414,-9.568,0.0253,104.413,4,1
Play That Funky Music,Shaun White Snowboarding: Official Soundtrack,Various Artists,1976,301800,0.8220000000000001,0.124,0.87,0.0,0.045,-6.257000000000001,0.0592,109.17399999999999,4,1
Love Machine,City Of Angels,The Miracles,1976,415133,0.7390000000000001,0.165,0.9840000000000001,0.00028700000000000004,0.0294,-4.52,0.0829,144.877,4,1
50 Ways to Leave Your Lover,Still Crazy After All These Years,Paul Simon,1976,217346,0.815,0.166,0.37200000000000005,0.00011599999999999999,0.0767,-12.814,0.0752,101.684,4,1
Love Is Alive,The Dream Weaver,Gary Wright,1976,230106,0.77,0.0614,0.5529999999999999,0.00106,0.10300000000000001,-13.632,0.0268,98.346,4,1
Fly Robin Fly,Silver Convention - Fly Robin Fly,Silver Convention,1976,230920,0.826,0.00719,0.406,0.731,0.0725,-14.152999999999999,0.0317,100.27799999999999,4,1
"More, More, More","More, More, More",Andrea True Connection,1976,222613,0.6629999999999999,0.517,0.792,0.000139,0.111,-5.476,0.0311,103.009,4,1
Boogie Fever,Classic Masters,The Sylvers,1976,208000,0.925,0.19,0.875,0.00495,0.0287,-5.742999999999999,0.0371,132.8,4,1
I Just Want To Be Your Everything,Flowing Rivers,Andy Gibb,1977,225666,0.6509999999999999,0.16699999999999998,0.648,1.7e-05,0.192,-7.44,0.0346,97.01700000000001,4,1
Best of My Love,The Best Of The Emotions: Best Of My Love,The Emotions,1977,219933,0.764,0.45,0.57,0.36200000000000004,0.0812,-11.360999999999999,0.0348,115.376,4,1
(Your Love Has Lifted Me) Higher And Higher,Delta Lady / The Anthology,Rita Coolidge,1977,241733,0.628,0.055,0.677,0.0234,0.14400000000000002,-8.913,0.0352,117.59100000000001,4,1
I'm Your Boogie Man,"KC & the Sunshine Band, Pt. 3... and More",KC & The Sunshine Band,1977,242133,0.753,0.0144,0.753,4.429999999999999e-05,0.0711,-13.023,0.0436,113.068,4,1
Dancing Queen,Arrival,ABBA,1977,230693,0.539,0.382,0.884,0.0016600000000000002,0.76,-6.53,0.0403,100.81200000000001,4,1
You Make Me Feel Like Dancing - Remastered,Very Best Of Leo Sayer,Leo Sayer,1977,172586,0.746,0.106,0.677,5.08e-06,0.12300000000000001,-7.127999999999999,0.0369,95.601,4,1
Whatcha Gonna Do?,20th Century Masters: The Millennium Collection: Best of Pablo Cruise,Pablo Cruise,1977,256959,0.727,0.0681,0.652,0.000122,0.17,-9.746,0.038,110.63600000000001,4,1
Got To Give It Up (Part 1),Number 1's,Marvin Gaye,1977,252360,0.867,0.0687,0.915,0.00135,0.34700000000000003,-6.593,0.0487,122.678,4,1
Shadow Dancing,Shadow Dancing,Andy Gibb,1978,276000,0.74,0.15,0.598,0.0,0.0664,-9.658,0.0321,101.93299999999999,4,1
Night Fever,Number Ones,Bee Gees,1978,209400,0.696,0.013999999999999999,0.7829999999999999,0.000101,0.0794,-6.341,0.0291,109.18299999999999,4,1
Baby Come Back,The Best Of Player: Baby Come Back,Player,1978,253733,0.684,0.151,0.563,0.0006259999999999999,0.121,-9.244,0.115,155.145,4,1
Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey,A Taste Of Honey,1978,338133,0.835,0.0991,0.522,0.0018399999999999998,0.111,-10.828,0.0916,123.934,4,1
Grease,Grease,Various Artists,1978,205733,0.821,0.249,0.365,0.0,0.0883,-12.118,0.0676,109.63799999999999,4,1
You're The One That I Want - From “Grease”,Gold,Olivia Newton-John,1978,167613,0.743,0.256,0.774,5.03e-05,0.155,-5.916,0.0941,106.564,4,1
Miss You - Remastered,Some Girls,The Rolling Stones,1978,288666,0.795,0.44299999999999995,0.71,0.0215,0.344,-4.746,0.0392,109.689,4,1
"If I Can't Have You - From ""Saturday Night Fever""",Best Of/20th Century,Yvonne Elliman,1978,177013,0.5489999999999999,0.133,0.8420000000000001,0.0,0.451,-6.457999999999999,0.0551,109.397,4,1
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) - Edit",Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1978,227106,0.867,0.0227,0.52,0.0513,0.115,-15.043,0.0614,123.346,4,1
My Sharona,Get The Knack,The Knack,1979,295400,0.586,0.0589,0.7,0.00125,0.0318,-9.558,0.0363,147.245,4,1
"Bad Girls - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,295125,0.872,0.00839,0.873,0.005679999999999999,0.451,-6.824,0.0374,120.37799999999999,4,1
