Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Why Me,16 Biggest Hits,Kris Kristofferson,1973,207560,0.41600000000000004,0.643,0.191,1.33e-06,0.11599999999999999,-13.184000000000001,0.026000000000000002,82.088,3,0
The Way We Were,The Essential Barbra Streisand,Barbra Streisand,1974,210026,0.265,0.883,0.33799999999999997,0.00365,0.16,-11.109000000000002,0.033,138.372,3,0
Lovin' You,Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,1975,203506,0.392,0.903,0.213,1.01e-06,0.12,-12.494000000000002,0.0415,100.51799999999999,3,0
Sara Smile,Daryl Hall & John Oates (The Silver Album),Daryl Hall & John Oates,1976,185293,0.5920000000000001,0.354,0.397,0.0008939999999999999,0.11900000000000001,-10.81,0.0676,150.03799999999998,3,0
Misty Blue,Misty Blue,Dorothy Moore,1976,222400,0.39,0.7,0.23600000000000002,0.00795,0.0843,-14.687999999999999,0.0291,173.15400000000002,3,0
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,A Night on the Town (Deluxe Edition),Rod Stewart,1977,237120,0.55,0.336,0.514,0.125,0.382,-12.617,0.0523,136.542,3,0
You Light Up My Life,The Best Of Debby Boone,Debby Boone,1978,218933,0.322,0.855,0.282,1.04e-05,0.163,-12.515999999999998,0.0301,77.47,3,0
Three Times A Lady,All The Great Love Songs,Commodores,1978,217426,0.39,0.8740000000000001,0.0803,0.0006389999999999999,0.127,-20.518,0.0306,150.503,3,0
Sad Eyes,Love To Love,Various Artists,1979,252906,0.669,0.52,0.466,4.49e-06,0.0556,-7.882999999999999,0.0246,107.22200000000001,3,0
The Rose,Jackpot! The Best Bette,Bette Midler,1980,215026,0.258,0.94,0.0971,0.0,0.122,-13.002,0.0302,65.346,3,0
Friends & Lovers,Friends & Lovers,Gloria Loring,1986,213013,0.529,0.789,0.222,0.0,0.096,-16.093,0.0298,111.196,3,0
At This Moment,The Best of Billy Vera and the Beaters,Billy Vera & The Beaters,1987,234506,0.578,0.8640000000000001,0.28600000000000003,2.68e-05,0.168,-7.371,0.0421,80.975,3,0
Could've Been,Tiffany,Tiffany,1988,212693,0.474,0.5539999999999999,0.23800000000000002,3.95e-06,0.107,-15.595,0.0271,99.005,3,0
One More Try - Remastered,Faith,George Michael,1988,350666,0.551,0.434,0.29100000000000004,3.78e-05,0.11,-12.544,0.0283,119.005,3,0
Vision of Love,#1 to Infinity,Mariah Carey,1990,209760,0.258,0.479,0.623,2.2e-06,0.111,-5.031000000000001,0.0377,205.467,3,0
End Of The Road,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1992,348893,0.64,0.067,0.42100000000000004,0.0,0.0614,-9.298,0.0246,74.836,3,0
I'll Make Love To You,II,Boyz II Men,1994,236773,0.5670000000000001,0.0995,0.501,0.0,0.0986,-8.038,0.0241,142.589,3,0
Never Forget You,Music Box,Mariah Carey,1994,225706,0.525,0.2,0.5329999999999999,0.0,0.198,-7.419,0.0289,149.923,3,0
Angel,Surfacing,Sarah McLachlan,1995,270400,0.532,0.9490000000000001,0.0744,1.22e-05,0.106,-16.092,0.0355,117.131,3,0
"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,1996,279760,0.19,0.6990000000000001,0.276,2.77e-06,0.124,-11.697000000000001,0.0354,81.857,3,0
Kiss from a Rose,Seal,Seal,1999,288426,0.583,0.684,0.532,0.0,0.306,-7.11,0.0309,131.741,3,0
Have You Ever Really Loved A Woman?,18 Til I Die,Bryan Adams,1999,291666,0.57,0.536,0.478,1.3300000000000001e-05,0.0931,-10.185,0.0322,145.517,3,0
Fallin',Songs In A Minor,Alicia Keys,2001,210200,0.653,0.263,0.609,0.00101,0.233,-7.519,0.037000000000000005,95.98200000000001,3,0
All For You,All For You,Janet Jackson,2001,330026,0.752,0.0178,0.925,0.125,0.10400000000000001,-3.2880000000000003,0.0867,113.52799999999999,3,0
I'm with You,Let Go,Avril Lavigne,2003,223066,0.457,0.08,0.406,0.0,0.11699999999999999,-7.462000000000001,0.0291,151.95,3,0
If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,2004,228706,0.609,0.603,0.445,6.77e-06,0.10400000000000001,-9.129,0.106,118.39299999999999,3,0
You And Me,Lifehouse,Lifehouse,2005,195493,0.461,0.1,0.446,0.0,0.16899999999999998,-7.702999999999999,0.0267,139.868,3,0
Say Something,Is There Anybody Out There?,A Great Big World,2014,229400,0.40700000000000003,0.857,0.147,2.89e-06,0.0913,-8.822000000000001,0.0355,141.284,3,0
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",Fifty Shades Of Grey (Original Motion Picture Soundtrack),Various Artists,2015,250973,0.667,0.397,0.342,0.0,0.0945,-5.93,0.0325,119.882,3,0
Perfect,÷ (Deluxe),Ed Sheeran,2018,263400,0.599,0.163,0.44799999999999995,0.0,0.106,-6.312,0.0232,95.05,3,0
