,Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
19,Joy To The World,Naturally,Three Dog Night,1971,1970-01-01,220573,66,0.649,0.464,0.649,0.679,0.00121,0.339,-12.515,0.0316,126.867,4
20,Maggie May,Every Picture Tells A Story,Rod Stewart,1971,1971-01-01,350266,2,0.611,0.611,0.611,0.583,0.0853,0.0688,-10.428,0.0408,129.432,4
21,Reason To Believe,The Definitive Collection - 1969-1978,Rod Stewart,1971,2009-01-01,248920,0,0.349,0.699,0.349,0.584,0.00172,0.222,-9.663,0.0441,138.215,4
22,It's Too Late,Tapestry,Carole King,1971,1971,233173,69,0.45,0.498,0.45,0.441,0.00562,0.133,-12.718,0.0352,208.282,4
23,One Bad Apple,Osmonds,The Osmonds,1971,1970-11-14,164973,35,0.6,0.382,0.6,0.567,0.0,0.213,-7.163,0.0398,101.041,4
24,How Can You Mend A Broken Heart,Trafalgar,Bee Gees,1971,1971-09,237826,59,0.335,0.548,0.335,0.262,0.0,0.0971,-13.832,0.0393,68.82,4
25,Go Away Little Girl,20th Century Masters: The Millennium Collection: Best of Donny Osmond,Donny Osmond,1971,2002-01-01,149160,23,0.316,0.76,0.316,0.39,0.000186,0.149,-11.472,0.0409,110.055,4
26,"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,1971,1997-06-17,197813,6,0.255,0.546,0.255,0.43,1.87E-05,0.188,-12.564,0.0322,164.267,4
27,Just My Imagination (Running Away With Me),Sky's The Limit,The Temptations,1971,1971-01-01,228160,64,0.425,0.88,0.425,0.242,0.0118,0.195,-15.424,0.0267,92.472,4
28,Knock Three Times,The Definitive Collection,Tony Orlando & Dawn,1971,1973,180360,49,0.777,0.154,0.777,0.581,0.0,0.11,-10.129,0.0517,123.1,4
29,Me and Bobby McGee,Pearl (Legacy Edition),Janis Joplin,1971,1971-01-11,271333,72,0.453,0.302,0.453,0.464,5.96E-05,0.152,-10.96,0.0431,93.19,4
30,Tired of Being Alone,Gets Next to You,Al Green,1971,1971-08-14,172320,68,0.772,0.339,0.772,0.397,0.00541,0.0753,-8.585,0.0391,97.964,4
31,Smiling Faces Sometimes,The Undisputed Truth,The Undisputed Truth,1971,1971-07-03,198546,52,0.551,0.252,0.551,0.461,2.39E-06,0.0541,-11.778,0.0255,105.155,4
32,Treat Her Like A Lady,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1971,1996-01-01,160360,46,0.775,0.191,0.775,0.476,0.0,0.132,-8.539,0.0355,131.4,4
33,You've Got a Friend,Mud Slide Slim and the Blue Horizon,James Taylor,1971,1971,268706,65,0.695,0.681,0.695,0.282,0.0267,0.0767,-15.359,0.0295,91.681,4
34,Mr. Big Stuff,Mr. Big Stuff,Jean Knight,1971,1971,164560,64,0.886,0.29,0.886,0.491,2.46E-06,0.229,-12.589,0.171,93.236,4
35,Brown Sugar - 2009 Mix,Sticky Fingers (Remastered),The Rolling Stones,1971,1971-04-23,228666,70,0.633,0.219,0.633,0.934,0.00021,0.0592,-3.594,0.0344,128.606,4
36,Do You Know What I Mean,5th (Remastered),Lee Michaels,1971,1971-11-20,192022,49,0.788,0.131,0.788,0.865,1.58E-05,0.0238,-9.729,0.0575,109.081,4
37,The Night They Drove Old Dixie Down,Blessed Are...,Joan Baez,1971,1971,206066,56,0.564,0.558,0.564,0.357,0.0,0.233,-12.752,0.0326,129.242,4
38,What's Going On,What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971,1971-05-21,232600,71,0.265,0.0991,0.265,0.824,0.0,0.359,-5.654,0.0991,203.206,4
