,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
79,When Doves Cry,Purple Rain,Prince,1984,1984-06-25,352906,71,0.729,0.0102,0.729,0.989,4.45E-05,0.443,-4.613,0.049,126.47,4
80,What's Love Got to Do with It - 2015 Remaster,Private Dancer (30th Anniversary Issue),Tina Turner,1984,1984-05-29,230240,64,0.855,0.254,0.855,0.48,2.16E-05,0.151,-8.902,0.0588,97.793,4
81,Say Say Say - Remastered 2015,Pipes Of Peace,Paul McCartney,1984,1983-10-28,235693,34,0.822,0.115,0.822,0.686,0.000982,0.0463,-10.456,0.0472,117.743,4
82,"Footloose - From ""Footloose"" Soundtrack",Footloose (15th Anniversary Collectors' Edition),Various Artists,1984,1984,226826,71,0.583,0.0984,0.583,0.905,0.00019,0.0593,-6.132,0.0733,173.982,4
83,Against All Odds (Take A Look At Me Now),...Hits,Phil Collins,1984,1998-09-25,204600,0,0.594,0.255,0.594,0.444,0.0,0.159,-9.042,0.0284,116.225,4
84,Jump,1984,Van Halen,1984,1984-01-03,239560,0,0.547,0.0745,0.547,0.822,0.00943,0.0645,-7.201,0.0292,130.138,4
85,Hello,Can't Slow Down,Lionel Richie,1984,1983-01-01,251106,58,0.487,0.414,0.487,0.246,0.0,0.0983,-14.104,0.0376,61.084,4
86,Owner of a Lonely Heart,90125 (Deluxe Version),Yes,1984,1983-06-01,268506,70,0.744,0.175,0.744,0.798,0.00367,0.26,-5.981,0.0364,125.061,4
87,Ghostbusters,Ghostbusters (Original Motion Picture Soundtrack),Various Artists,1984,1984-06-08,245600,0,0.787,0.0192,0.787,0.588,0.0205,0.347,-14.228,0.0355,115.513,4
88,Karma Chameleon - Remastered,Colour By Numbers,Culture Club,1984,1983-10-01,252773,74,0.668,0.225,0.668,0.73,0.0,0.188,-7.182,0.0366,92.049,4
89,Missing You,No Brakes,John Waite,1984,1984-01-01,269760,71,0.552,0.052,0.552,0.552,0.0,0.046,-9.736,0.0364,208.571,4
90,All Night Long (All Night) - Single Version,The Definitive Collection,Lionel Richie,1984,2003,260426,64,0.739,0.122,0.739,0.576,0.00206,0.0482,-12.024,0.0472,108.81,4
91,"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",Footloose (15th Anniversary Collectors' Edition),Various Artists,1984,1984,261893,55,0.783,0.177,0.783,0.573,8.5E-05,0.043,-8.521,0.0462,122.744,4
92,Dancing In the Dark,Born In The U.S.A.,Bruce Springsteen,1984,1984-06-04,241306,77,0.527,0.0115,0.527,0.942,0.0,0.188,-5.64,0.0366,148.723,4
93,Girls Just Want to Have Fun,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,1984,2014-03-28,238120,67,0.707,0.214,0.707,0.788,0.000571,0.308,-5.269,0.0333,120.465,4
94,The Reflex,Seven and the Ragged Tiger,Duran Duran,1984,1983-11-21,266933,33,0.556,0.123,0.556,0.9,0.0,0.571,-6.11,0.097,126.686,4
95,Time After Time,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,1984,2014-03-28,243066,70,0.724,0.576,0.724,0.436,1.19E-06,0.0908,-9.321,0.0282,130.439,4
96,Jump (For My Love),Break Out,The Pointer Sisters,1984,1983-11-06,267226,58,0.842,0.161,0.842,0.697,0.000101,0.583,-13.796,0.0654,134.533,4
97,Talking In Your Sleep,In Heat,The Romantics,1984,1983-02-14,235093,61,0.72,0.0289,0.72,0.967,0.000345,0.142,-4.434,0.0343,129.766,4
98,Self Control,Self Control,Laura Branigan,1984,1984,246440,71,0.814,0.219,0.814,0.686,0.00382,0.155,-12.172,0.0342,106.679,4
