,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
39,Physical,Physical,Olivia Newton-John,1982,1981-01-01,224773,51,0.834,0.0631,0.834,0.633,5E-05,0.313,-11.442,0.0422,123.815,4
40,Eye of the Tiger,Eye Of The Tiger,Survivor,1982,1982,243773,74,0.815,0.216,0.815,0.438,0.000466,0.0787,-14.522,0.0346,108.965,4
41,I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & The Blackhearts,1982,1981-11-18,175173,73,0.535,0.326,0.535,0.716,0.0,0.659,-5.025,0.0431,94.379,4
42,Ebony And Ivory - Remixed 2015,Tug Of War,Paul McCartney,1982,1982-04-26,226266,0,0.567,0.0784,0.567,0.692,0.0,0.0338,-7.881,0.0379,160.697,4
43,Centerfold,Freeze Frame,The J. Geils Band,1982,1981,216533,72,0.653,0.249,0.653,0.677,0.0,0.403,-12.244,0.0396,114.37,4
44,Don't You Want Me,Dare!,The Human League,1982,1981,236920,74,0.731,0.184,0.731,0.738,0.0,0.214,-8.125,0.0377,117.656,4
45,Jack & Diane,American Fool,John Mellencamp,1982,1982,254493,74,0.811,0.0365,0.811,0.41,6.63E-06,0.0799,-8.214,0.0391,103.965,4
46,Hurts So Good,American Fool,John Mellencamp,1982,1982,218960,70,0.785,0.042,0.785,0.737,0.000107,0.108,-5.306,0.0363,125.447,4
47,Abracadabra,Steve Miller Band,Steve Miller Band,1982,1973-01-01,307400,40,0.79,0.0775,0.79,0.537,3.01E-06,0.173,-13.272,0.036,127.511,4
48,Hard to Say I'm Sorry - 2009 Remaster,Chicago 16 (Expanded Edition),Chicago,1982,1982-06-07,221826,56,0.537,0.695,0.537,0.417,1.86E-06,0.151,-7.209,0.0273,144.716,4
49,Tainted Love,Non Stop Erotic Cabaret (Deluxe Edition),Soft Cell,1982,1981-12,153880,54,0.519,0.476,0.519,0.51,0.0,0.292,-8.057,0.0352,144.524,4
50,Chariots Of Fire,Themes,Vangelis,1982,1989-01-01,211208,0,0.48,0.0896,0.48,0.378,0.398,0.118,-13.317,0.0328,136.379,4
51,Harden My Heart,Quarterflash,Quarterflash,1982,1981-01-01,232626,48,0.531,0.0568,0.531,0.43,1.22E-06,0.0964,-14.523,0.0578,124.284,4
52,Rosanna,Toto IV,TOTO,1982,1982-04-08,331200,72,0.365,0.0208,0.365,0.513,0.000147,0.205,-13.034,0.0357,80.647,4
53,I Can't Go for That (No Can Do),Private Eyes (Expanded Edition),Daryl Hall & John Oates,1982,1981,307306,64,0.889,0.0405,0.889,0.441,0.000788,0.038,-9.506,0.0379,110.565,4
54,867-5309 / Jenny,Tommy Tutone - 2,Tommy Tutone,1982,1981-12-04,226200,62,0.584,0.0264,0.584,0.708,0.00364,0.112,-10.039,0.0593,137.657,4
55,Key Largo,Just Another Day in Paradise,Bertie Higgins,1982,1982-01-01,200173,18,0.589,0.744,0.589,0.418,0.0,0.135,-11.922,0.0363,102.664,4
56,You Should Hear How She Talks About You,Hey Ricky,Melissa Manchester,1982,1982,256386,40,0.753,0.212,0.753,0.834,2.93E-05,0.259,-6.516,0.115,131.909,4
57,Waiting for a Girl like You,4 (Expanded),Foreigner,1982,1981,292066,70,0.33,0.31,0.33,0.469,2.3E-06,0.0402,-9.286,0.0335,201.327,4
58,Don't Talk to Strangers,Success Hasn't Spoiled Me,Rick Springfield,1982,1982-03-23,180360,52,0.8,0.291,0.8,0.712,0.0,0.145,-9.472,0.0419,123.211,4
