,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Call Me,Best Of Blondie,Blondie,1980,1981-10-31,212893,60,0.551,0.0336,0.551,0.628,0.000194,0.151,-13.799,0.036,142.167,4
1,"Another Brick in the Wall, Pt. 2",The Wall,Pink Floyd,1980,1979-11-30,238746,76,0.694,0.0781,0.694,0.394,0.000677,0.247,-15.881,0.0428,104.126,4
2,Rock with You - Single Version,Off the Wall,Michael Jackson,1980,1979-08-10,220626,73,0.808,0.179,0.808,0.535,9.91E-05,0.158,-12.521,0.0353,114.031,4
3,Do That To Me One More Time,The Ultimate Collection: Captain & Tennille,Captain & Tennille,1980,2001-01-01,254773,35,0.686,0.637,0.686,0.442,0.00183,0.0975,-12.025,0.0258,90.009,4
4,Crazy Little Thing Called Love - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980,1980-06-27,163373,65,0.599,0.714,0.599,0.762,4.43E-06,0.35,-6.887,0.0423,76.961,4
5,Coming Up - Remastered 2011,McCartney II (Special Edition),Paul McCartney,1980,1980-05-16,231880,18,0.817,0.457,0.817,0.767,0.0723,0.0606,-7.194,0.0468,128.93,4
6,Funkytown - Single Version,80's Pop Number 1's,Various Artists,1980,2007-01-01,245413,0,0.925,0.00128,0.925,0.58,0.458,0.112,-8.987,0.0547,122.671,4
7,It's Still Rock and Roll to Me,The Essential Billy Joel,Billy Joel,1980,2001-10-02,177266,57,0.745,0.0958,0.745,0.655,1.99E-06,0.0895,-7.589,0.166,141.429,4
8,The Rose,Jackpot! The Best Bette,Bette Midler,1980,2008-01-09,215026,44,0.258,0.94,0.258,0.0971,0.0,0.122,-13.002,0.0302,65.346,3
9,Escape (The Pina Colada Song),Partners In Crime,Rupert Holmes,1980,1979-01-01,276493,73,0.836,0.467,0.836,0.509,4.1E-06,0.0436,-13.668,0.0548,138.714,4
10,Cars,The Pleasure Principle,Gary Numan,1980,1979,238906,62,0.546,0.0114,0.546,0.578,6.54E-05,0.0692,-8.745,0.0406,128.037,4
11,Cruisin',The Definitive Collection,Smokey Robinson,1980,2004-01-01,353520,41,0.473,0.216,0.473,0.62,0.0,0.352,-6.908,0.029,168.914,4
12,"Working My Way Back to You / Forgive Me, Girl",Smooth And Sweet,The Spinners,1980,2007-10-30,245479,39,0.837,0.415,0.837,0.703,2.73E-05,0.153,-9.385,0.0415,121.556,4
13,Lost In Love,Ultimate Air Supply,Air Supply,1980,2003-05-29,231133,57,0.59,0.37,0.59,0.589,1.22E-06,0.162,-9.859,0.03,114.471,4
14,Little Jeannie,The Greatest Hits 1970-2002,Elton John,1980,2002-01-01,304893,0,0.618,0.364,0.618,0.548,1.37E-05,0.0978,-10.674,0.0266,143.602,4
15,Ride Like the Wind,Christopher Cross,Christopher Cross,1980,1979,275506,66,0.669,0.347,0.669,0.707,0.000716,0.0997,-13.66,0.0478,124.335,4
16,Upside Down,Diana,Diana Ross,1980,1980-05-22,245600,56,0.873,0.179,0.873,0.855,0.0285,0.0377,-8.559,0.0615,107.868,4
17,Please Don't Go - Single Version,Do You Wanna Go Party,KC & The Sunshine Band,1980,1979-05-01,230533,50,0.482,0.00888,0.482,0.615,1.78E-06,0.0431,-11.093,0.0398,96.307,4
18,Babe,Cornerstone,Styx,1980,1979-01-01,265973,65,0.267,0.527,0.267,0.204,0.0,0.0924,-13.714,0.0317,169.486,4
19,Bette Davis Eyes,Mistaken Identity,Kim Carnes,1980,1981-01-01,228000,73,0.675,0.0204,0.675,0.649,0.0,0.0959,-10.271,0.0319,116.624,4
