,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Love Will Keep Us Together,Greatest Hits,Captain & Tennille,1975,1977-01-01,206800,50,0.681,0.317,0.681,0.484,0.0,0.121,-13.67,0.0348,129.733,4
1,Rhinestone Cowboy,Rhinestone Cowboy (Expanded Edition),Glen Campbell,1975,1975,194453,62,0.644,0.102,0.644,0.633,6.82E-05,0.227,-8.006,0.0261,115.193,4
2,Philadelphia Freedom,The Greatest Hits 1970-2002,Elton John,1975,2002-01-01,322066,0,0.698,0.0255,0.698,0.709,8.73E-05,0.0749,-5.514,0.031,125.493,4
3,Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,1975,1991-10-11,158306,53,0.799,0.748,0.799,0.345,2.39E-05,0.169,-11.52,0.0276,90.417,4
4,My Eyes Adored You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1975,2003-01-14,212626,46,0.446,0.272,0.446,0.489,0.0,0.16,-10.26,0.033,137.829,4
5,Shining Star,That's The Way Of The World,"Earth, Wind & Fire",1975,1975-03-15,170160,62,0.676,0.668,0.676,0.692,0.00915,0.13,-13.093,0.052,102.516,4
6,Fame - 1999 Remaster,Best of Bowie,David Bowie,1975,2002,251800,42,0.783,0.286,0.783,0.694,0.0214,0.0597,-7.854,0.0681,95.755,4
7,Laughter In The Rain,The Definitive Collection,Neil Sedaka,1975,2007-04-24,170066,63,0.495,0.348,0.495,0.613,0.0058,0.0406,-9.463,0.0239,100.535,4
8,One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,1975,1975,291685,70,0.655,0.0603,0.655,0.606,0.0789,0.0757,-10.385,0.0285,110.061,4
9,Thank God I'm a Country Boy,Back Home Again,John Denver,1975,1974,187000,0,0.756,0.859,0.756,0.521,0.00174,0.0401,-10.855,0.0448,106.893,4
10,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,1975,1975-06-01,222266,58,0.811,0.155,0.811,0.545,0.0853,0.156,-12.969,0.0579,105.911,4
11,The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,1975,2003-10-21,274891,51,0.559,0.717,0.559,0.393,0.0,0.0532,-11.095,0.0237,90.105,4
12,Lovin' You,Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,1975,1993-01-01,203506,58,0.392,0.903,0.392,0.213,1.01E-06,0.12,-12.494,0.0415,100.518,3
13,Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,1975,2001,197693,68,0.598,0.0422,0.598,0.673,6.84E-05,0.289,-10.431,0.0693,102.035,4
14,Black Water - Single Version,Best of The Doobies,The Doobie Brothers,1975,1976-10-29,258159,55,0.543,0.334,0.543,0.307,0.0,0.044,-18.253,0.0414,168.169,4
15,Ballroom Blitz,Desolation Boulevard,Sweet,1975,1974-11,246573,62,0.644,0.0821,0.644,0.799,0.00154,0.055,-10.856,0.0598,108.381,4
16,Another Somebody Done Somebody Wrong Song - Rerecorded,The Best of B. J. Thomas (Rerecorded),B.J. Thomas,1975,2011-01-01,212880,33,0.719,0.601,0.719,0.511,2.95E-05,0.168,-9.059,0.0303,124.978,4
17,He Don't Love You (Like I Love You),He Don't Love You,Tony Orlando & Dawn,1975,1975,219946,41,0.637,0.287,0.637,0.55,1.85E-05,0.345,-12.378,0.0335,119.303,4
18,At Seventeen,Between The Lines,Janis Ian,1975,1975,280493,0,0.599,0.888,0.599,0.164,0.000612,0.121,-23.035,0.0475,125.388,4
19,Pick Up the Pieces,AWB,Average White Band,1975,1974,239908,55,0.768,0.0548,0.768,0.853,0.13,0.0188,-5.915,0.0427,107.234,4
