,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
79,My Sharona,Get The Knack,The Knack,1979,1979-01-01,295400,73,0.586,0.0589,0.586,0.7,0.00125,0.0318,-9.558,0.0363,147.245,4
80,"Bad Girls - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,1979,295125,0,0.872,0.00839,0.872,0.873,0.00568,0.451,-6.824,0.0374,120.378,4
81,Le Freak,C'est Chic,CHIC,1979,1978-08-11,327573,1,0.867,0.0453,0.867,0.746,0.0,0.123,-7.445,0.0475,118.616,4
82,Do Ya Think I'm Sexy,Do Ya Think I'm Sexy? / Scarred and Scared,Rod Stewart,1979,1978,325813,52,0.716,0.0107,0.716,0.465,0.000667,0.099,-15.205,0.0307,112.087,4
83,Reunited,2 Hot!,Peaches & Herb,1979,1978,345240,0,0.559,0.851,0.559,0.496,0.00616,0.147,-9.437,0.0262,75.69,4
84,I Will Survive - Single Version,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,Gloria Gaynor,1979,2000-01-01,198066,71,0.777,0.0131,0.777,0.725,0.00805,0.246,-8.681,0.05,116.669,4
85,"Hot Stuff - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,1979,407053,0,0.808,0.00513,0.808,0.881,0.0127,0.0688,-8.249,0.0338,120.392,4
86,Y.M.C.A.,Cruisin',Village People,1979,1978,286666,62,0.75,0.0278,0.75,0.785,0.0,0.0601,-10.926,0.0591,126.361,4
87,Ring My Bell,Ring My Bell,Anita Ward,1979,2005-09-26,491933,0,0.78,0.0613,0.78,0.551,0.104,0.0331,-13.038,0.0625,126.009,4
88,Sad Eyes,Love To Love,Various Artists,1979,2010-01-22,252906,0,0.669,0.52,0.669,0.466,4.49E-06,0.0556,-7.883,0.0246,107.222,3
89,Too Much Heaven,Spirits Having Flown,Bee Gees,1979,1979-01-01,296000,0,0.505,0.436,0.505,0.433,9.87E-05,0.743,-12.997,0.0589,165.818,4
90,MacArthur Park - Single Version,On The Radio: Greatest Hits Volumes I & II,Donna Summer,1979,1979-01-01,235200,0,0.573,0.0817,0.573,0.672,0.000752,0.0601,-12.296,0.0406,131.054,4
91,When You're In Love With A Beautiful Woman,Pleasure & Pain,Dr. Hook,1979,1978,178826,62,0.679,0.405,0.679,0.728,0.00261,0.0506,-9.539,0.0378,109.623,4
92,Makin' It (Re-Recorded),Makin' It (Re-Recorded) - Single,David Naughton,1979,2012-11-26,189582,33,0.882,0.0475,0.882,0.562,0.374,0.0338,-7.67,0.0368,129.99,4
93,Fire,Fire! The Very Best of The Pointer Sisters,The Pointer Sisters,1979,1989-09-21,208600,26,0.731,0.158,0.731,0.448,5.32E-05,0.075,-14.884,0.0443,118.2,4
94,Tragedy,Spirits Having Flown,Bee Gees,1979,1979-01-01,303333,0,0.667,0.092,0.667,0.549,0.0056,0.242,-10.651,0.0276,117.97,4
95,Heart Of Glass - Remix,Once More Into The Bleach,Blondie,1979,1988,351293,52,0.683,0.00476,0.683,0.549,0.0195,0.0623,-11.771,0.0376,114.939,4
96,What a Fool Believes,"Best of The Doobies, Volume II",The Doobie Brothers,1979,1977,219573,58,0.646,0.274,0.646,0.623,0.0,0.086,-8.82,0.0337,120.651,4
97,Good Times,Risqué,CHIC,1979,1979-07-30,495400,65,0.87,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,4
98,A Little More Love (Live),Summer Nights - Live in Las Vegas,Olivia Newton-John,1979,2015-03-03,283320,31,0.681,0.011,0.681,0.623,0.000393,0.157,-8.353,0.0466,100.003,4
