,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
60,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1993,1992-11-17,271093,77,0.306,0.844,0.306,0.214,5.3E-06,0.0839,-12.518,0.0356,66.98,4
61,Whoomp! (There It Is),Whoomp! (There It Is),Tag Team,1993,2012-03-07,225266,0,0.798,0.00138,0.798,0.649,0.0,0.0792,-7.392,0.0411,129.422,4
62,(I Can't Help) Falling In Love With You,Promises And Lies,UB40,1993,1993-01-01,207440,68,0.642,0.0444,0.642,0.722,0.00388,0.122,-13.031,0.0375,172.406,4
63,That's The Way Love Goes,Janet,Janet Jackson,1993,1993-05-18,265106,66,0.703,0.302,0.703,0.7,0.471,0.0718,-6.789,0.0693,97.675,4
64,Freak Me,Lose Control,Silk,1993,1992,274533,58,0.697,0.0295,0.697,0.608,0.0,0.276,-10.976,0.0463,133.879,4
65,Weak,It's About Time,SWV,1993,1992-10-27,291906,66,0.693,0.107,0.693,0.533,0.0,0.0695,-10.954,0.0402,127.661,4
66,If I Ever Fall In Love,If I Ever Fall In Love,Shai,1993,1992-01-01,189026,57,0.402,0.758,0.402,0.205,0.0,0.147,-11.232,0.038,143.994,4
67,Dreamlover,Music Box,Mariah Carey,1993,1993-08-04,232960,59,0.701,0.18,0.701,0.705,0.0,0.141,-6.18,0.0357,100.669,4
68,Rump Shaker,Hard Or Smooth,Wreckx-N-Effect,1993,1992-01-01,312360,55,0.888,0.0025,0.888,0.822,0.0197,0.303,-6.843,0.219,102.753,4
69,Informer,12 Inches Of Snow,Snow,1993,1993,268910,63,0.763,0.0984,0.763,0.742,0.0,0.38,-10.975,0.188,98.145,4
70,In The Still Of The Nite (I'll Remember),The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1993,2003-10-07,169493,27,0.517,0.783,0.517,0.218,0.0,0.137,-13.662,0.0381,78.118,4
71,Don't Walk Away,Jade To The Max,Jade,1993,1992-11-13,216373,61,0.831,0.147,0.831,0.915,0.00571,0.196,-7.501,0.128,102.979,4
72,Knockin' da Boots,Fever for da Flavor,H-Town,1993,1993-01-28,330945,62,0.726,0.155,0.726,0.501,0.0,0.0893,-13.884,0.154,128.099,4
73,Lately,Uptown MTV Unplugged,Various Artists,1993,1993-01-01,373626,0,0.377,0.631,0.377,0.315,0.0,0.946,-12.641,0.0619,126.168,4
74,Dazzey Duks,Dazzey Duks,Duice,1993,1992-03-18,244866,32,0.884,0.000925,0.884,0.464,4.36E-06,0.0366,-12.876,0.222,132.172,4
75,Show Me Love,Show Me Love,Robin S,1993,1993-06-15,252106,68,0.811,0.014,0.811,0.833,2.06E-05,0.0769,-4.259,0.153,120.258,4
76,A Whole New World (Aladdin's Theme),Aladdin (Original Motion Picture Soundtrack),Various Artists,1993,1992-01-01,250400,55,0.538,0.636,0.538,0.189,0.0,0.174,-17.13,0.0344,107.829,4
77,If,Janet,Janet Jackson,1993,1993-05-18,271640,52,0.653,0.0374,0.653,0.976,0.00173,0.561,-5.173,0.0797,105.575,4
78,I'm So Into You,It's About Time,SWV,1993,1992-10-27,278333,63,0.85,0.0624,0.85,0.513,0.00249,0.0689,-10.663,0.0513,99.01,4
