,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
60,God's Plan,Scorpion,Drake,2018,2018-06-29,198973,83,0.754,0.0332,0.754,0.449,8.29E-05,0.552,-9.211,0.109,77.169,4
61,Perfect,÷ (Deluxe),Ed Sheeran,2018,2017-03-03,263400,87,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
62,Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2018,2017-08-11,163870,78,0.643,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,4
63,Havana (feat. Young Thug),Camila,Camila Cabello,2018,2018-01-12,217306,82,0.765,0.184,0.765,0.523,3.56E-05,0.132,-4.333,0.03,104.988,4
64,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018,2018-04-27,218146,86,0.585,0.124,0.585,0.52,7.01E-05,0.131,-6.136,0.0712,159.801,4
65,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,2018,2018-04-27,221440,81,0.75,0.546,0.75,0.56,0.0,0.111,-8.094,0.105,140.06,4
66,I Like It,Invasion of Privacy,Cardi B,2018,2018-04-06,253390,82,0.816,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,136.048,4
67,The Middle,The Middle,Zedd,2018,2018-01-23,184732,82,0.753,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,107.01,4
68,In My Feelings,Scorpion,Drake,2018,2018-06-29,217925,79,0.835,0.0589,0.835,0.626,6E-05,0.396,-5.833,0.125,91.03,4
69,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,2018,2018-05-30,235545,76,0.851,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
70,Nice For What,Scorpion,Drake,2018,2018-06-29,210746,78,0.585,0.0891,0.585,0.909,9.7E-05,0.119,-6.474,0.0707,93.372,4
71,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018,2018-05-23,239835,5,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4
72,Better Now,beerbongs & bentleys,Post Malone,2018,2018-04-27,231266,84,0.68,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,145.038,4
73,Finesse - Remix; feat. Cardi B,Finesse (Remix) [feat. Cardi B],Bruno Mars,2018,2017-12-20,217288,75,0.704,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,4
74,Boo'd Up,READY,Ella Mai,2018,2017-02-22,256063,72,0.561,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,81.965,4
75,New Rules,Dua Lipa,Dua Lipa,2018,2017-06-02,209320,53,0.762,0.00261,0.762,0.7,1.56E-05,0.153,-6.021,0.0694,116.073,4
76,SAD!,?,XXXTENTACION,2018,2018-03-16,166605,86,0.74,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,4
77,Never Be the Same,Camila,Camila Cabello,2018,2018-01-12,226973,73,0.637,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,129.923,4
78,Love Lies (with Normani),Love Lies (with Normani),Khalid,2018,2018-02-14,201707,75,0.708,0.0956,0.708,0.648,0.0,0.134,-5.626,0.0449,143.955,4
79,no tears left to cry,Sweetener,Ariana Grande,2018,2018-08-17,205920,81,0.699,0.04,0.699,0.713,3.11E-06,0.294,-5.507,0.0594,121.993,4
