,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
40,Something About The Way You Look Tonight - Edit Version,Candle In The Wind 1997 / Something About ...,Elton John,1997,1997-01-01,240546,57,0.48,0.174,0.48,0.628,3.28E-05,0.0753,-7.643,0.0262,143.412,4
41,Candle In The Wind 1997,Candle In The Wind 1997 / Something About ...,Elton John,1997,1997-01-01,250106,56,0.45,0.977,0.45,0.311,0.00713,0.167,-8.175,0.0314,125.648,4
42,Foolish Games,Pieces Of You,Jewel,1997,1995,340666,0,0.298,0.944,0.298,0.0735,0.000401,0.0976,-16.472,0.0378,131.045,4
43,You Were Meant For Me,Pieces Of You,Jewel,1997,1995,254480,0,0.582,0.791,0.582,0.33,1.48E-06,0.105,-7.928,0.0347,111.873,4
44,I'll Be Missing You (feat. Faith Evans & 112),No Way Out,Diddy,1997,1997,344813,48,0.709,0.548,0.709,0.347,0.00263,0.121,-9.055,0.0676,109.882,4
45,Un-Break My Heart,Secrets,Toni Braxton,1997,1996-04-24,270333,68,0.625,0.413,0.625,0.426,0.0,0.116,-8.392,0.0271,110.018,4
46,Can't Nobody Hold Me Down (feat. Mase),No Way Out,Diddy,1997,1997,231160,58,0.928,0.102,0.928,0.771,1.07E-05,0.338,-5.935,0.251,93.987,4
47,I Believe I Can Fly,R.,R. Kelly,1997,1998,321093,0,0.525,0.248,0.525,0.439,0.0,0.152,-7.581,0.0306,120.047,4
48,Don't Let Go (Love),EV3,En Vogue,1997,1997-06-17,291880,62,0.618,0.409,0.618,0.688,6.32E-06,0.3,-5.867,0.0477,78.311,4
49,Return of the Mack,Return of the Mack,Mark Morrison,1997,1996-04-22,213093,73,0.715,0.00631,0.715,0.833,0.0,0.164,-5.379,0.108,95.487,4
50,How Do I Live,Greatest Hits,LeAnn Rimes,1997,2003-11-18,266973,69,0.577,0.128,0.577,0.462,0.0,0.0822,-7.989,0.0279,128.303,4
51,Wannabe,Spice,Spice Girls,1997,1996-01-01,173026,79,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,110.008,4
52,Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys,1997,1996,233533,57,0.8,0.0615,0.8,0.875,2.79E-06,0.13,-4.952,0.0338,100.033,4
53,MMMBop - Single Version,The Best Of Hanson 20th Century Masters The Millennium Collection,Hanson,1997,2006-01-01,238733,55,0.692,0.0046,0.692,0.938,0.00412,0.0631,-6.767,0.0468,104.887,4
54,For You I Will,The Boy Is Mine,Monica,1997,1998-07-13,294866,58,0.652,0.243,0.652,0.473,0.0,0.134,-7.981,0.0313,123.208,4
55,You Make Me Wanna...,You Make Me Wanna... (Remix),Usher,1997,1997-08-12,220093,32,0.755,0.0419,0.755,0.639,0.0,0.0683,-7.499,0.0549,164.078,4
56,Bitch,Blurring The Edges,Meredith Brooks,1997,1997-01-01,252760,67,0.617,0.0112,0.617,0.886,9.63E-05,0.0523,-5.953,0.055,96.328,4
57,Nobody (feat. Athena Cage),Keith Sweat,Keith Sweat,1997,1996,264773,63,0.699,0.484,0.699,0.492,0.0,0.0482,-9.449,0.0318,117.907,4
58,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997,1997-04-08,268360,74,0.64,0.00832,0.64,0.864,0.0,0.123,-6.576,0.0315,102.026,4
59,Barely Breathing,Duncan Sheik,Duncan Sheik,1997,1996,254546,59,0.482,0.0281,0.482,0.807,0.0,0.177,-6.976,0.0457,187.918,4
