,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Hold On,Wilson Phillips,Wilson Phillips,1990,1990-01-01,266866,68,0.679,0.4,0.679,0.657,0.0,0.0497,-9.897,0.0255,97.8,4
1,"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,1990,1990-05-20,258786,76,0.52,0.34,0.52,0.652,5.49E-05,0.256,-6.655,0.0274,80.609,4
2,Nothing Compares 2 U,So Far: The Best of Sinéad O'Connor,Sinéad O'Connor,1990,1997-11-10,280040,50,0.511,0.0425,0.511,0.574,2.33E-05,0.105,-7.016,0.0273,119.917,4
3,Poison,Poison,Bell Biv DeVoe,1990,1990-01-01,261853,66,0.84,0.00195,0.84,0.56,0.00417,0.633,-10.53,0.21,111.815,4
4,Vogue - Edit,I'm Breathless,Madonna,1990,1990-03-22,289560,52,0.69,0.0109,0.69,0.817,0.00276,0.103,-10.137,0.0478,116.211,4
5,Vision of Love,#1 to Infinity,Mariah Carey,1990,2015,209760,28,0.258,0.479,0.258,0.623,2.2E-06,0.111,-5.031,0.0377,205.467,3
6,Another Day in Paradise - 2016 Remaster,...But Seriously (2016 Remaster),Phil Collins,1990,1989-11-20,323040,48,0.781,0.731,0.781,0.576,0.00264,0.0561,-6.947,0.0311,101.985,4
7,Hold On,Born to Sing,En Vogue,1990,1990-04-03,304466,56,0.728,0.0865,0.728,0.464,0.0,0.343,-11.156,0.0605,96.944,4
8,Cradle of Love,Charmed Life,Billy Idol,1990,1990,281493,0,0.603,0.0037,0.603,0.939,0.0,0.0651,-5.498,0.0398,144.052,4
9,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Blaze Of Glory,Jon Bon Jovi,1990,1990-01-01,335240,65,0.55,0.0564,0.55,0.618,2.62E-05,0.0937,-9.822,0.0307,78.61,4
10,Do Me!,Poison,Bell Biv DeVoe,1990,1990-01-01,272440,47,0.716,0.134,0.716,0.772,2.15E-06,0.35,-6.816,0.037,107.823,4
11,How Am I Supposed to Live Without You,Soul Provider,Michael Bolton,1990,1989-06-27,255666,70,0.541,0.191,0.541,0.44,0.0,0.114,-12.206,0.031,140.273,4
12,Pump Up The Jam,Pump Up The Jam,Technotronic,1990,1989,320306,66,0.885,0.0147,0.885,0.844,4.49E-06,0.0494,-9.225,0.0733,124.602,4
13,Opposites Attract,Forever Your Girl,Paula Abdul,1990,1988-01-01,265373,52,0.783,0.0337,0.783,0.842,2.57E-06,0.0519,-8.838,0.054,117.79,4
14,Escapade,Rhythm Nation 1814,Janet Jackson,1990,1989-09-19,283933,53,0.806,0.0259,0.806,0.954,0.000617,0.176,-6.741,0.0514,115.229,4
15,All I Wanna Do Is Make Love To You,Brigade,Heart,1990,1990-03-25,310893,67,0.626,0.16,0.626,0.746,0.0,0.0618,-8.832,0.0282,102.896,4
16,Close To You,Bonafide,Maxi Priest,1990,1990-01-01,325800,53,0.781,0.0849,0.781,0.478,3.93E-06,0.0877,-15.427,0.0561,95.992,4
17,Black Velvet,Alannah Myles,Alannah Myles,1990,1989-03-14,287440,71,0.754,0.273,0.754,0.366,9.04E-05,0.106,-10.07,0.0312,91.147,4
18,Release Me,Wilson Phillips,Wilson Phillips,1990,1990-01-01,295693,51,0.724,0.448,0.724,0.471,2.5E-06,0.218,-11.143,0.0358,97.211,4
19,Don't Know Much (feat. Aaron Neville) - 2015 Remaster,Greatest Hits,Linda Ronstadt,1990,2015-08-21,213640,40,0.397,0.66,0.397,0.305,4.29E-05,0.132,-10.696,0.0322,131.777,4
