,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,"Endless Love - From ""The Endless Love"" Soundtrack",The Definitive Collection,Lionel Richie,1981,2003,266266,64,0.456,0.665,0.456,0.332,0.000248,0.138,-9.775,0.025,93.633,4
21,Lady - Remastered 2006,Number Ones,Kenny Rogers,1981,2006-01-01,231266,0,0.455,0.633,0.455,0.267,4.65E-06,0.132,-13.156,0.0311,67.858,4
22,(Just Like) Starting Over - Remastered 2010,Double Fantasy Stripped Down,John Lennon,1981,1980-11-17,236546,62,0.701,0.301,0.701,0.79,6.06E-05,0.179,-6.16,0.0725,99.104,4
23,Jessie's Girl,Working Class Dog,Rick Springfield,1981,1981,194120,71,0.727,0.164,0.727,0.832,0.0,0.105,-5.851,0.05,131.703,4
24,Celebration,Celebrate!,Kool & The Gang,1981,1980-09-29,298866,67,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4
25,Kiss on My List,Voices,Daryl Hall & John Oates,1981,1980,264986,62,0.815,0.434,0.815,0.741,0.115,0.0689,-9.478,0.031,121.221,4
26,I Love a Rainy Night - 2009 Remaster,Number One Hits,Eddie Rabbitt,1981,2009-10-05,189320,29,0.689,0.0978,0.689,0.742,0.0,0.26,-7.325,0.0485,131.474,4
27,9 to 5,9 To 5 And Odd Jobs,Dolly Parton,1981,1980,162466,76,0.554,0.416,0.554,0.783,1.54E-06,0.631,-5.852,0.0457,105.39,4
28,Keep on Loving You,Hi Infidelity (30th Anniversary Edition),REO Speedwagon,1981,1980,200293,71,0.306,0.0519,0.306,0.722,0.0,0.117,-5.963,0.034,174.732,4
29,"Believe It or Not (Theme from ""Greatest American Hero"")",America's Greatest Hero,Joey Scarbury,1981,1981,195293,53,0.521,0.249,0.521,0.743,0.0,0.096,-5.903,0.0338,117.129,4
30,Morning Train (Nine to Five) - Edit,Take My Time,Sheena Easton,1981,1981,200826,54,0.76,0.63,0.76,0.556,0.0,0.148,-8.872,0.0817,121.818,4
31,Being With You,20th Century Masters: The Millennium Collection: Best of Smokey Robinson,Smokey Robinson,1981,2000-01-01,248533,0,0.626,0.816,0.626,0.371,3.96E-06,0.0733,-11.174,0.0276,108.752,4
32,Queen Of Hearts,Juice Newton's Greatest Hits,Juice Newton,1981,1988-10-19,206866,52,0.669,0.211,0.669,0.779,8.98E-05,0.132,-11.522,0.0533,169.478,4
33,Rapture,Greatest Hits: Blondie,Blondie,1981,2006-01-01,299373,54,0.724,0.113,0.724,0.704,0.00425,0.466,-8.258,0.0511,107.486,4
34,A Woman Needs Love (Just Like You Do),A Woman Needs Love (Expanded Edition),Ray Parker Jr.,1981,1981,249053,48,0.744,0.479,0.744,0.376,3.86E-05,0.254,-14.937,0.0395,91.113,4
35,The Tide Is High - Edit,Tide Is High,Blondie,1981,1980-10-01,233893,52,0.778,0.0514,0.778,0.667,0.0312,0.092,-7.273,0.0258,96.954,4
36,Just the Two of Us (feat. Bill Withers),Love Songs,"Grover Washington, Jr.",1981,1979,237106,55,0.803,0.576,0.803,0.488,0.0609,0.0763,-9.303,0.0803,95.771,4
37,Slow Hand,Black & White (Expanded Edition),The Pointer Sisters,1981,1981,231960,56,0.826,0.403,0.826,0.558,1.94E-05,0.0631,-7.766,0.0322,110.77,4
38,I Love You,Flying the Flag,Climax Blues Band,1981,1980,245452,52,0.559,0.608,0.559,0.446,0.000131,0.0902,-8.805,0.0349,131.792,4
