,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Greatest Hits 1979-1990,Dionne Warwick,1986,1989-10-31,256466,56,0.673,0.294,0.673,0.286,0.0,0.086,-14.643,0.0313,120.117,4
21,"Say You, Say Me",Dancing On The Ceiling,Lionel Richie,1986,1986,241066,71,0.636,0.355,0.636,0.405,0.0,0.0804,-11.113,0.0287,128.068,4
22,On My Own,Winner In You,Patti LaBelle,1986,1986-01-01,290840,60,0.62,0.337,0.62,0.402,6.13E-05,0.312,-12.964,0.0264,92.093,4
23,Broken Wings,Welcome To The Real World,Mr. Mister,1986,1985-11-27,343933,70,0.286,0.134,0.286,0.5,4.57E-05,0.108,-14.281,0.0357,99.162,4
24,How Will I Know,Whitney Houston,Whitney Houston,1986,1985-02-14,275533,72,0.832,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,119.49,4
25,Party All the Time,How Could It Be,Eddie Murphy,1986,1985-02-05,253293,59,0.699,0.00979,0.699,0.692,0.000326,0.0427,-13.045,0.0456,135.03,4
26,"Burning Heart - From ""Rocky IV"" Soundtrack",Rocky IV,Various Artists,1986,1985,230720,63,0.651,0.221,0.651,0.665,7.91E-06,0.0403,-7.43,0.0269,97.996,4
27,Kyrie,Welcome To The Real World,Mr. Mister,1986,1985-11-27,265840,51,0.496,0.0824,0.496,0.566,0.0,0.13,-13.749,0.035,89.913,4
28,Addicted To Love,Riptide,Robert Palmer,1986,1985-01-01,363640,68,0.702,0.382,0.702,0.578,5.89E-06,0.0425,-13.415,0.031,111.617,4
29,Greatest Love of All,Whitney Houston,Whitney Houston,1986,1985-02-14,291400,68,0.502,0.484,0.502,0.305,3.55E-06,0.117,-16.011,0.0339,131.242,4
30,Secret Lovers,As The Band Turns,Atlantic Starr,1986,1986,330666,48,0.339,0.653,0.339,0.379,3.56E-06,0.219,-15.08,0.0528,74.142,4
31,Friends & Lovers,Friends & Lovers,Gloria Loring,1986,2008,213013,37,0.529,0.789,0.529,0.222,0.0,0.096,-16.093,0.0298,111.196,3
32,Glory of Love,Solitude / Solitaire,Peter Cetera,1986,1986,258120,72,0.518,0.0778,0.518,0.585,2.43E-06,0.31,-8.485,0.0279,144.998,4
33,West End Girls - 2001 Remaster,Please: Further Listening 1984-1986,Pet Shop Boys,1986,1986-03-24,245360,59,0.648,0.0114,0.648,0.947,0.0567,0.105,-6.617,0.0369,113.255,4
34,There'll Be Sad Songs (To Make You Cry),Love Zone (Expanded Edition),Billy Ocean,1986,1986,292680,50,0.563,0.748,0.563,0.458,0.0,0.103,-7.673,0.0305,79.738,4
35,Alive And Kicking,Alive And Kicking,Simple Minds,1986,1985,287133,54,0.602,0.153,0.602,0.694,0.000207,0.164,-11.337,0.0313,103.105,4
36,Never,Heart,Heart,1986,1985-07-06,246400,0,0.612,0.467,0.612,0.593,0.0,0.312,-12.187,0.0286,96.27,4
37,Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986,1986-03-31,226240,72,0.898,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,4
38,Higher Love - Single Version,80's Pop Number 1's,Various Artists,1986,2007-01-01,252253,0,0.719,0.0683,0.719,0.9,0.0465,0.397,-6.686,0.0454,98.796,4
