,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015,2015-01-12,269666,81,0.856,0.00801,0.856,0.609,8.15E-05,0.0344,-7.223,0.0824,114.988,4
1,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2015,2014-06-21,281560,84,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
2,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,2015-03-10,229525,1,0.689,0.369,0.689,0.481,1.03E-06,0.0649,-7.503,0.0815,80.025,4
3,Trap Queen,Fetty Wap (Deluxe),Fetty Wap,2015,2015-09-25,222093,74,0.746,0.0244,0.746,0.873,0.0,0.354,-3.803,0.128,148.075,4
4,Sugar,V,Maroon 5,2015,2014-09-02,235493,80,0.748,0.0591,0.748,0.788,0.0,0.0863,-7.055,0.0334,120.076,4
5,Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2015,2014-12-02,199080,80,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
6,Blank Space,1989,Taylor Swift,2015,2014-10-27,231826,71,0.752,0.085,0.752,0.678,1.64E-06,0.13,-5.421,0.0646,96.009,4
7,Watch Me (Whip / Nae Nae),Watch Me (Whip / Nae Nae),Silentó,2015,2015-05-04,185142,66,0.821,0.247,0.821,0.759,0.0,0.321,-8.541,0.121,140.01,4
8,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",Fifty Shades Of Grey (Original Motion Picture Soundtrack),Various Artists,2015,2015-02-10,250973,51,0.667,0.397,0.667,0.342,0.0,0.0945,-5.93,0.0325,119.882,3
9,The Hills,Beauty Behind The Madness,The Weeknd,2015,2015-08-28,242253,84,0.585,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,4
10,Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015,2015-10-16,180560,64,0.78,0.141,0.78,0.68,1.2E-05,0.138,-6.081,0.0305,118.026,4
11,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015,2015-08-28,213520,79,0.705,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,4
12,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015,2015-11-13,252534,57,0.475,0.247,0.475,0.606,0.0,0.125,-6.646,0.0346,94.994,4
13,Take Me to Church,Hozier,Hozier,2015,2014-10-07,241693,68,0.575,0.637,0.575,0.664,0.0,0.116,-5.303,0.0481,129.07,4
14,Bad Blood,Bad Blood,Taylor Swift,2015,2015-05-17,200106,66,0.654,0.0294,0.654,0.655,0.0,0.139,-7.388,0.106,170.16,4
15,Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,2015,2015-06-01,176561,0,0.723,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4
16,Want to Want Me,Everything Is 4,Jason Derulo,2015,2015-05-29,207719,76,0.775,0.00906,0.775,0.68,0.0,0.109,-5.508,0.0629,114.025,4
17,Shake It Off,1989,Taylor Swift,2015,2014-10-27,219200,69,0.648,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,4
18,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015,2015-02-24,250285,75,0.432,0.041,0.432,0.781,4.21E-06,0.0789,-4.038,0.0567,139.432,4
19,Fight Song,Wildfire,Rachel Platten,2015,2016-01-01,204013,80,0.564,0.0549,0.564,0.714,0.0,0.155,-4.987,0.129,175.924,4
