,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
60,Low (feat. T-Pain),Mail on Sunday,Flo Rida,2008,2008-03-17,231400,80,0.918,0.0928,0.918,0.609,0.0,0.139,-5.64,0.0791,128.008,4
61,Bleeding Love,Spirit,Leona Lewis,2008,2007,262466,78,0.638,0.188,0.638,0.656,0.0,0.146,-5.886,0.0357,104.036,4
62,No One,As I Am,Alicia Keys,2008,2007-11-09,253813,1,0.649,0.03,0.649,0.552,6.47E-06,0.111,-5.419,0.0292,89.969,4
63,Lollipop,Tha Carter III,Lil Wayne,2008,2008-06-10,299333,69,0.829,0.056,0.829,0.428,0.00413,0.137,-9.469,0.0831,148.075,4
64,Apologize,Dreaming Out Loud,OneRepublic,2008,2007-01-01,208106,70,0.593,0.363,0.593,0.74,2.22E-05,0.102,-6.12,0.0339,118.008,4
65,No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,2008,2007-11-20,264373,0,0.466,0.0521,0.466,0.759,0.0,0.0587,-4.978,0.199,160.033,4
66,Love Song,Little Voice,Sara Bareilles,2008,2007-07-03,258826,75,0.583,0.0208,0.583,0.786,0.0,0.188,-3.142,0.0301,123.055,4
67,Love in This Club,Here I Stand,Usher,2008,2008-05-27,259720,68,0.573,0.0572,0.573,0.712,0.0,0.167,-5.976,0.0732,140.012,4
68,With You,Exclusive,Chris Brown,2008,2007-11-01,252160,1,0.659,0.143,0.659,0.696,0.0,0.13,-4.291,0.071,86.001,4
69,Forever,Forever,Chris Brown,2008,2007-11-02,278035,0,0.672,0.0371,0.672,0.819,0.000184,0.203,-4.457,0.0463,120.013,4
70,Sexy Can I feat. Yung Berg,All I Feel,Ray J,2008,2008-04-08,204040,36,0.575,0.299,0.575,0.684,0.0,0.614,-6.007,0.325,172.155,4
71,Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,2008,2008-06-02,229413,77,0.697,0.248,0.697,0.467,0.0,0.0941,-7.536,0.0715,82.082,4
72,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008,2008-05-26,242373,80,0.486,0.0954,0.486,0.617,3.23E-06,0.109,-7.115,0.0287,138.015,4
73,I Kissed A Girl,One Of The Boys,Katy Perry,2008,2008-06-17,179640,68,0.699,0.00223,0.699,0.76,0.0,0.132,-3.173,0.0677,129.996,4
74,Whatever You Like,Paper Trail,T.I.,2008,2008-09-08,249533,0,0.68,0.0161,0.68,0.687,0.0,0.261,-6.162,0.0709,150.053,4
75,Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008,2008-06-02,238626,75,0.707,0.0863,0.707,0.813,0.0,0.168,-4.515,0.0571,124.921,4
76,Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008,2008-06-02,267080,77,0.835,0.0336,0.835,0.669,6.92E-05,0.0535,-5.582,0.0643,122.668,4
77,Pocketful of Sunshine,Pocketful Of Sunshine,Natasha Bedingfield,2008,2008-01-22,202906,63,0.721,0.191,0.721,0.88,0.0,0.0769,-3.896,0.0454,110.021,4
78,Kiss Kiss (feat. T-Pain),Exclusive,Chris Brown,2008,2007-11-01,250666,0,0.738,0.0463,0.738,0.673,0.0,0.0604,-3.377,0.205,140.068,4
79,Closer,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,2008,2008-01-01,234360,59,0.711,0.028,0.711,0.753,2.96E-05,0.152,-6.461,0.0766,126.051,4
