,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
80,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014,2014-03-03,232720,10,0.647,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,4
81,Dark Horse,PRISM (Deluxe),Katy Perry,2014,2013-10-18,215672,75,0.645,0.00314,0.645,0.585,0.0,0.165,-6.122,0.0513,131.931,4
82,All of Me,Love In The Future (Expanded Edition),John Legend,2014,2013-08-30,269560,86,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
83,Fancy,The New Classic (Deluxe Version),Iggy Azalea,2014,2014-01-01,199938,68,0.912,0.0904,0.912,0.716,0.0,0.0491,-4.141,0.0697,94.981,4
84,Counting Stars,Native,OneRepublic,2014,2014-01-01,257839,73,0.664,0.0654,0.664,0.705,0.0,0.115,-4.972,0.0382,122.017,4
85,Talk Dirty (feat. 2 Chainz),Talk Dirty,Jason Derulo,2014,2013-09-10,177685,65,0.76,0.0348,0.76,0.652,0.0,0.307,-7.321,0.232,100.315,4
86,Rude,Don't Kill the Magic,MAGIC!,2014,2014-06-25,224840,79,0.774,0.0423,0.774,0.756,0.0,0.305,-4.995,0.0389,144.032,4
87,All About That Bass,Title (Deluxe),Meghan Trainor,2014,2015-01-09,187920,72,0.807,0.0573,0.807,0.887,2.87E-06,0.124,-3.726,0.0503,134.052,4
88,Problem,My Everything (Deluxe),Ariana Grande,2014,2014-08-25,193920,75,0.66,0.0192,0.66,0.805,8.83E-06,0.159,-5.352,0.153,103.008,4
89,Stay With Me,In The Lonely Hour,Sam Smith,2014,2014-01-01,172723,0,0.479,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,85.014,4
90,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2014,2012,204160,79,0.581,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,4
91,Pompeii,Bad Blood,Bastille,2014,2013-01-01,214147,71,0.679,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4
92,Shake It Off,1989,Taylor Swift,2014,2014-10-27,219200,69,0.648,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,4
93,Am I Wrong,Black Star Elephant,Nico & Vinz,2014,2014,245866,73,0.729,0.175,0.729,0.675,1.58E-06,0.55,-6.003,0.0312,119.968,4
94,Turn Down for What,Turn Down for What,DJ Snake,2014,2013-12-18,213733,72,0.818,0.00107,0.818,0.799,0.128,0.057,-4.1,0.156,100.014,4
95,The Monster,The Marshall Mathers LP2,Eminem,2014,2013-11-05,250188,75,0.781,0.0525,0.781,0.853,0.0,0.12,-3.68,0.0715,110.049,4
96,Say Something,Is There Anybody Out There?,A Great Big World,2014,2014-01-20,229400,77,0.407,0.857,0.407,0.147,2.89E-06,0.0913,-8.822,0.0355,141.284,3
97,Team,Pure Heroine,Lorde,2014,2013-09-27,193058,75,0.69,0.167,0.69,0.578,0.0,0.305,-7.436,0.0929,99.961,4
98,Let Her Go,All the Little Lights,Passenger,2014,2012-06-29,252733,2,0.479,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.897,4
99,Royals,Pure Heroine,Lorde,2014,2013-09-27,190185,76,0.674,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
