,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,Hanging By A Moment,No Name Face,Lifehouse,2001,2000,216066,65,0.541,0.00118,0.541,0.864,0.0,0.0896,-4.915,0.0357,124.557,4
21,Fallin',Songs In A Minor,Alicia Keys,2001,2001-06-05,210200,1,0.653,0.263,0.653,0.609,0.00101,0.233,-7.519,0.037,95.982,3
22,All For You,All For You,Janet Jackson,2001,2001-04-24,330026,50,0.752,0.0178,0.752,0.925,0.125,0.104,-3.288,0.0867,113.528,3
23,I'm Real (feat. Ja Rule) - Murder Remix,J.Lo,Jennifer Lopez,2001,2001-01-23,262133,64,0.708,0.273,0.708,0.587,0.0,0.0718,-7.93,0.151,83.46,4
24,If You're Gone,Mad Season,Matchbox Twenty,2001,2000-05-23,274933,66,0.544,0.427,0.544,0.659,1.33E-06,0.126,-7.191,0.0298,109.933,4
25,Let Me Blow Ya Mind,Scorpion,Eve,2001,2001-01-01,230133,72,0.908,0.242,0.908,0.557,0.0,0.0709,-4.243,0.107,90.032,4
26,Thank You,No Angel,Dido,2001,1999-06-01,217826,61,0.722,0.284,0.722,0.595,0.000538,0.0694,-9.928,0.0415,79.98,4
27,Again,Greatest Hits,Lenny Kravitz,2001,2000,228933,54,0.554,0.0186,0.554,0.82,4.91E-05,0.161,-5.035,0.0296,79.147,4
28,"Independent Women, Pt. 1",Survivor,Destiny's Child,2001,2001-05-01,221133,66,0.73,0.362,0.73,0.602,3.69E-06,0.169,-3.782,0.206,97.954,4
29,Hit 'Em Up Style (Oops!),So Blu,Blu Cantrell,2001,2001-01-18,250706,62,0.667,0.201,0.667,0.773,0.0,0.404,-4.983,0.0586,89.976,4
30,It Wasn't Me,Hot Shot,Shaggy,2001,2000-01-01,227600,0,0.849,0.0566,0.849,0.613,0.0,0.335,-4.796,0.0715,94.75,4
31,Stutter (feat. Mystikal) - Double Take Remix,My Name Is Joe,Joe,2001,2000-04-18,213026,57,0.767,0.0513,0.767,0.759,0.0,0.31,-6.516,0.117,89.989,4
32,It's Been Awhile,Break the Cycle,Staind,2001,2001-05-22,264706,67,0.509,0.00189,0.509,0.774,0.000549,0.143,-4.054,0.0338,116.529,4
33,U Remind Me,8701,Usher,2001,2001-08-07,266893,73,0.657,0.194,0.657,0.629,0.0,0.254,-4.938,0.0782,93.985,4
34,Where the Party At (feat. Nelly),Jagged Little Thrill,Jagged Edge,2001,2001-07-03,232573,66,0.596,0.31,0.596,0.661,0.0,0.0847,-6.239,0.226,129.491,5
35,Angel,Hot Shot,Shaggy,2001,2000-01-01,235133,0,0.733,0.146,0.733,0.759,0.0,0.04,-2.994,0.171,170.573,4
36,Ride Wit Me,Country Grammar,Nelly,2001,2000-06-27,291781,1,0.854,0.0668,0.854,0.692,0.0,0.247,-6.625,0.0479,101.865,4
37,Follow Me,Double Wide,Uncle Kracker,2001,2000-06-13,218439,72,0.817,0.439,0.817,0.585,0.0,0.147,-4.688,0.0301,105.014,4
38,Peaches & Cream,Part III,112,2001,2001,193093,65,0.677,0.00277,0.677,0.52,0.0,0.0532,-6.255,0.334,203.862,4
39,How You Remind Me,Silver Side Up,Nickelback,2001,2001-09-11,223840,79,0.446,0.00135,0.446,0.764,0.0,0.099,-5.042,0.033,172.094,4
