,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
80,Old Town Road - Remix,7 EP,Lil Nas X,2019,2019-06-21,157066,83,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4
81,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2019,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4
82,Without Me,Without Me,Halsey,2019,2018-10-04,201660,83,0.752,0.297,0.752,0.488,9.11E-06,0.0936,-7.05,0.0705,136.041,4
83,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019,2019-03-29,194087,88,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4
84,Wow.,Hollywood's Bleeding,Post Malone,2019,2019-09-06,149546,84,0.829,0.136,0.829,0.539,1.78E-06,0.103,-7.359,0.208,99.96,4
85,Happier,Happier,Marshmello,2019,2018-08-17,214289,85,0.687,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
86,7 rings,"thank u, next",Ariana Grande,2019,2019-02-08,178626,86,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4
87,Talk,Talk,Khalid,2019,2019-02-07,197487,74,0.9,0.0501,0.9,0.4,0.0,0.0876,-8.443,0.124,136.001,4
88,SICKO MODE,ASTROWORLD,Travis Scott,2019,2018-08-03,312820,87,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
89,Sucker,Sucker,Jonas Brothers,2019,2019-03-01,181040,12,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4
90,High Hopes,Pray for the Wicked,Panic! At The Disco,2019,2018-06-22,190946,84,0.579,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,4
91,"thank u, next","thank u, next",Ariana Grande,2019,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
92,Truth Hurts,Cuz I Love You (Deluxe),Lizzo,2019,2019-05-03,173325,71,0.715,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,158.087,4
93,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019,2019-01-11,171029,83,0.741,0.45,0.741,0.52,1.97E-06,0.222,-7.513,0.0656,102.998,4
94,Señorita,Señorita,Shawn Mendes,2019,2019-06-21,190960,85,0.759,0.037,0.759,0.54,0.0,0.0945,-6.039,0.0287,116.947,4
95,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019,2019-05-10,219946,83,0.798,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,101.956,4
96,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2019,2018-07-12,173799,79,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4
97,Going Bad (feat. Drake),Championships,Meek Mill,2019,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4
98,Shallow,A Star Is Born Soundtrack,Lady Gaga,2019,2018-10-05,215733,86,0.572,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,4
99,Better,Suncity,Khalid,2019,2018-10-18,229320,77,0.596,0.0765,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,4
