,Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
76,The Way We Were,The Essential Barbra Streisand,Barbra Streisand,1974,2002-01-29,210026,43,0.265,0.883,0.265,0.338,0.00365,0.16,-11.109,0.033,138.372,3
77,Seasons In The Sun,Hits Of The 70s (100 Songs),Various Artists,1974,2009-01-16,206560,0,0.638,0.68,0.638,0.561,2.12E-06,0.253,-9.837,0.0414,100.093,4
78,Love's Theme,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,1974,1995-01-01,248266,0,0.589,0.00166,0.589,0.61,0.808,0.265,-10.542,0.0325,97.072,4
79,Come and Get Your Love - Single Version,Come and Get Your Love,Redbone,1974,1973-11-01,205933,77,0.731,0.172,0.731,0.804,0.00028,0.0685,-7.621,0.0473,107.383,4
80,Dancing Machine,Dancing Machine,The Jackson 5,1974,1974-09-05,161813,56,0.776,0.133,0.776,0.794,2.35E-05,0.689,-7.722,0.0723,109.277,4
81,The Loco-Motion - Remastered 2002,Shinin' On (Remastered 2002 / Expanded Edition),Grand Funk Railroad,1974,1974-03-01,165800,49,0.456,0.375,0.456,0.933,0.0,0.563,-5.212,0.153,125.051,4
82,TSOP (The Sound of Philadelphia) (feat. The Three Degrees),End of Phase I - A Collection of Greatest Hits,MFSB,1974,1977-11-13,212106,26,0.723,0.0739,0.723,0.853,0.226,0.0979,-8.296,0.0295,114.268,4
83,The Streak,Greatest Hits - Original Recordings,Ray Stevens,1974,2014-04-22,197733,34,0.685,0.647,0.685,0.521,0.0,0.918,-14.33,0.295,119.813,4
84,Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,1974,1973-10-05,322548,73,0.665,0.259,0.665,0.673,7.62E-06,0.497,-7.95,0.0493,132.642,4
85,One Hell of a Woman,Greatest Hits,Mac Davis,1974,1972,170388,11,0.665,0.277,0.665,0.457,0.000124,0.0888,-15.16,0.041,120.175,4
86,Until You Come Back to Me (That's What I'm Gonna Do),Spanish Harlem,Aretha Franklin,1974,1998-03-17,206213,44,0.68,0.624,0.68,0.54,0.000908,0.116,-9.831,0.0275,94.548,4
87,Jungle Boogie,Wild And Peaceful,Kool & The Gang,1974,1973-09,186533,63,0.808,0.115,0.808,0.85,0.000109,0.316,-8.772,0.0868,106.855,4
88,Midnight at the Oasis,Rhino Hi-Five: Maria Muldaur,Maria Muldaur,1974,2005-07-19,224986,35,0.663,0.093,0.663,0.512,6.78E-06,0.327,-9.557,0.0273,99.388,4
89,You Make Me Feel Brand New,The Very Best of the Stylistics ... And More!,The Stylistics,1974,2005-11-08,329720,0,0.454,0.85,0.454,0.383,2.85E-05,0.11,-8.186,0.0247,75.929,4
90,Show and Tell,Show and Tell: The Best of Al Wilson,Al Wilson,1974,1973,207986,46,0.37,0.303,0.37,0.418,0.0,0.0832,-11.305,0.0266,177.576,4
91,Rock On,Rock On,David Essex,1974,1973,203917,47,0.676,0.723,0.676,0.292,0.00189,0.433,-14.448,0.34,74.798,4
92,Sunshine On My Shoulders,"Poems, Prayers and Promises",John Denver,1974,1971,311893,61,0.322,0.915,0.322,0.168,0.000223,0.117,-13.893,0.0336,146.68,4
93,Sideshow,Blue Magic,Blue Magic,1974,1974,251520,49,0.586,0.837,0.586,0.337,0.0,0.628,-13.165,0.0347,133.229,4
94,Hooked on a Feeling,Hooked On A Feeling,Blue Swede,1974,1973,172866,75,0.547,0.261,0.547,0.82,0.0,0.3,-6.728,0.0805,118.208,4
