,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
40,End Of The Road,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1992,2003-10-07,348893,47,0.64,0.067,0.64,0.421,0.0,0.0614,-9.298,0.0246,74.836,3
41,Baby Got Back,Mack Daddy,Sir Mix-A-Lot,1992,1992-01-01,262826,0,0.937,0.00533,0.937,0.654,1.26E-06,0.0542,-11.187,0.322,128.462,4
42,Jump,Totally Krossed Out,Kris Kross,1992,1992-03-17,195106,66,0.749,0.000501,0.749,0.745,0.00403,0.333,-10.625,0.164,101.972,4
43,Save The Best For Last,The Comfort Zone,Vanessa Williams,1992,1991-01-01,218733,55,0.528,0.641,0.528,0.234,0.0,0.183,-15.784,0.0283,95.911,4
44,Baby-Baby-Baby,Ooooooohhh... On The TLC Tip,TLC,1992,1992-02-25,315040,52,0.679,0.0913,0.679,0.597,0.000673,0.0487,-8.601,0.0439,184.174,4
45,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,1992,1992-08-25,280000,72,0.695,0.8,0.695,0.336,0.00264,0.701,-12.999,0.0313,79.109,4
46,My Lovin' (You're Never Gonna Get It),Funky Divas,En Vogue,1992,1992-03-24,281613,57,0.767,0.0318,0.767,0.839,9.31E-06,0.111,-5.519,0.0613,98.055,4
47,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1992,1991-09-24,264306,81,0.559,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
48,All 4 Love,C.M.B.,Color Me Badd,1992,1991-07-23,211493,52,0.807,0.0347,0.807,0.75,0.00017,0.149,-8.29,0.0315,106.389,4
49,Just Another Day,Jon Secada,Jon Secada,1992,1992-01-01,327426,63,0.717,0.0194,0.717,0.642,0.000249,0.043,-10.727,0.0287,105.894,4
50,I Love Your Smile,Inner Child,Shanice,1992,1991-11-19,257973,59,0.722,0.00955,0.722,0.842,8.45E-06,0.178,-8.745,0.126,93.954,4
51,To Be With You,Lean Into It,Mr. Big,1992,1991,208400,0,0.696,0.35,0.696,0.294,0.0,0.129,-12.563,0.0497,83.562,4
52,I'm Too Sexy,Up,Right Said Fred,1992,1992-01-07,170466,60,0.683,4.91E-05,0.683,0.739,0.0122,0.293,-12.831,0.0495,122.113,4
53,Black or White - Single Version,The Essential Michael Jackson,Michael Jackson,1992,2005-07-19,202853,65,0.741,0.0814,0.741,0.894,0.0527,0.089,-3.826,0.0496,114.879,4
54,Achy Breaky Heart,Some Gave All,Billy Ray Cyrus,1992,1992,203373,66,0.8,0.051,0.8,0.563,0.0,0.0797,-10.209,0.0303,121.808,4
55,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992",MTV Unplugged EP,Mariah Carey,1992,1992-04-30,282373,44,0.404,0.687,0.404,0.498,0.0,0.725,-9.855,0.0338,81.951,4
56,November Rain,Use Your Illusion I,Guns N' Roses,1992,1991-09-17,536066,80,0.294,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759,4
57,Life Is A Highway,Mad Mad World,Tom Cochrane,1992,1992,266560,64,0.683,0.0681,0.683,0.751,8.36E-06,0.248,-10.184,0.0346,103.036,4
58,Remember the Time,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,1992,1995-06-16,239626,52,0.834,0.128,0.834,0.908,0.00382,0.181,-3.404,0.0646,107.931,4
59,Finally,Finally,CeCe Peniston,1992,1992-01-01,245000,63,0.791,0.00653,0.791,0.658,0.0,0.0472,-11.128,0.0445,120.066,4
