,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
79,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004,2004-03-23,250373,82,0.894,0.0183,0.894,0.791,0.0,0.0388,-4.699,0.112,105.018,4
80,Burn,Confessions (Expanded Edition),Usher,2004,2004-03-23,231933,69,0.796,0.314,0.796,0.477,0.0,0.12,-7.161,0.108,119.928,4
81,If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,2004,2003-12-02,228706,79,0.609,0.603,0.609,0.445,6.77E-06,0.104,-9.129,0.106,118.393,3
82,This Love,Songs About Jane,Maroon 5,2004,2002-06-25,206200,68,0.712,0.0525,0.712,0.862,0.0,0.093,-4.612,0.0378,95.051,4
83,The Way You Move - Radio Mix,Speakerboxxx/The Love Below,OutKast,2004,2003-09-23,233960,0,0.867,0.117,0.867,0.596,0.000125,0.061,-4.851,0.0463,125.984,4
84,The Reason,The Reason,Hoobastank,2004,2003-01-01,232800,0,0.473,0.0134,0.473,0.643,0.0,0.16,-4.67,0.0293,82.95,4
85,I Don't Wanna Know (feat. Enya And P. Diddy),Hurt No More,Mario Winans,2004,2005-04-20,257360,0,0.84,0.332,0.84,0.493,0.00105,0.121,-5.9,0.0475,96.998,4
86,Hey Ya! - Radio Mix,Speakerboxxx/The Love Below,OutKast,2004,2003,235213,78,0.727,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
87,Goodies (feat. Petey Pablo),Goodies,Ciara,2004,2004-09-27,223000,67,0.826,0.0277,0.826,0.647,1.52E-06,0.298,-6.306,0.0491,102.017,4
88,Lean Back,True Story,Terror Squad,2004,2004-01-01,247426,65,0.783,0.11,0.783,0.916,0.0,0.0746,-3.344,0.415,95.321,4
89,Tipsy - Club Mix,Hood Hop,J-Kwon,2004,2004,243226,63,0.925,0.0644,0.925,0.744,0.0,0.0888,-5.79,0.367,93.02,4
90,Confessions Part II,Confessions (Expanded Edition),Usher,2004,2004-03-23,211200,68,0.845,0.0586,0.845,0.467,0.0,0.0694,-7.674,0.138,138.007,4
91,Slow Motion,Juve The Great,JUVENILE,2004,2003-01-01,248200,64,0.713,0.548,0.713,0.734,0.0,0.0687,-4.894,0.325,172.872,4
92,Freek-A-Leek,Still Writing In My Diary: 2nd Entry,Petey Pablo,2004,2004,235186,64,0.756,0.0744,0.756,0.691,0.0,0.364,-3.718,0.178,104.999,4
93,Here Without You,Away From The Sun,3 Doors Down,2004,2002-11-12,238733,76,0.557,0.0492,0.557,0.533,0.0,0.205,-6.817,0.0252,143.994,4
94,Slow Jamz,The College Dropout,Kanye West,2004,2004-02-13,316053,0,0.569,0.369,0.569,0.744,0.0,0.256,-5.757,0.181,145.063,4
95,Someday,The Long Road,Nickelback,2004,2003-09-23,207466,70,0.455,0.000616,0.455,0.858,0.000247,0.226,-5.659,0.0391,163.118,4
96,Naughty Girl,Dangerously In Love,Beyoncé,2004,2003-06-24,208573,62,0.588,0.237,0.588,0.461,1.54E-05,0.0913,-8.686,0.161,200.053,4
97,My Immortal,Fallen,Evanescence,2004,2003-03-04,262533,75,0.19,0.863,0.19,0.265,0.0,0.134,-9.206,0.0356,79.012,4
98,Sunshine (feat. Lea),U Gotta Feel Me,Lil' Flip,2004,2004-03-30,225173,62,0.814,0.0248,0.814,0.387,0.0,0.131,-9.867,0.0945,93.961,4
