,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
0,Believe,Believe,Cher,1995,1998,239026,76,0.652,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,132.975,4
1,No Scrubs,Fanmail,TLC,1995,1999-02-23,214400,79,0.743,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,92.909,4
2,Angel of Mine,The Boy Is Mine,Monica,1995,1998-07-13,250173,66,0.592,0.00373,0.592,0.562,3.23E-05,0.223,-6.869,0.0239,90.16,4
3,Heartbreak Hotel (feat. Faith Evans & Kelly Price),My Love Is Your Love,Whitney Houston,1995,1998-11-17,281493,53,0.724,0.0477,0.724,0.535,0.0,0.0314,-7.616,0.0588,133.816,4
4,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,1995,1999-01-12,211066,77,0.759,0.202,0.759,0.699,0.000131,0.443,-5.745,0.0307,92.96,4
5,Kiss Me,Sixpence None The Richer,Sixpence None The Richer,1995,1997,208680,0,0.526,0.023,0.526,0.749,1.76E-06,0.0692,-6.964,0.0283,99.982,4
6,Genie in a Bottle,Christina Aguilera,Christina Aguilera,1995,1999-07-15,217133,0,0.633,0.185,0.633,0.792,0.000185,0.152,-6.968,0.149,175.795,4
7,Every Morning,14:59,Sugar Ray,1995,1998-12-23,219866,64,0.833,0.0834,0.833,0.679,0.00258,0.0769,-4.496,0.0365,109.916,4
8,Nobody's Supposed to Be Here,One Wish,Deborah Cox,1995,1998-09-17,262333,57,0.662,0.202,0.662,0.531,1.16E-05,0.595,-5.3,0.0361,119.957,4
9,Livin' la Vida Loca,The Greatest Hits,Ricky Martin,1995,2011,243373,43,0.417,0.00463,0.417,0.956,0.0,0.0725,-3.771,0.055,178.119,4
10,Where My Girls At,702,702,1995,1999-01-01,166693,59,0.705,0.0352,0.705,0.725,0.0149,0.194,-7.435,0.0506,92.186,4
11,If You Had My Love,On The 6,Jennifer Lopez,1995,1999-06-01,266000,63,0.68,0.0645,0.68,0.625,5.81E-05,0.109,-7.0,0.0353,94.02,4
12,Slide,Dizzy up the Girl,The Goo Goo Dolls,1995,1998-09-11,212066,70,0.395,0.00483,0.395,0.843,0.0,0.0404,-4.476,0.0374,112.423,4
13,Have You Ever,Never Say Never,Brandy,1995,1998-05-29,273440,61,0.698,0.542,0.698,0.533,0.0,0.333,-6.246,0.0437,134.001,4
14,I Want It That Way,Millennium,Backstreet Boys,1995,1999-05-18,213306,79,0.689,0.257,0.689,0.694,0.0,0.148,-5.83,0.027,99.039,4
15,I'm Your Angel (with Céline Dion),R.,R. Kelly,1995,1996,332066,52,0.62,0.669,0.62,0.504,0.0,0.11,-7.26,0.0301,112.681,4
16,All Star,Astro Lounge,Smash Mouth,1995,1999-06-08,200373,79,0.731,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,104.019,4
17,Angel,Surfacing,Sarah McLachlan,1995,1997-08-29,270400,69,0.532,0.949,0.532,0.0744,1.22E-05,0.106,-16.092,0.0355,117.131,3
18,Smooth (feat. Rob Thomas),Supernatural (Remastered),Santana,1995,1999-06-15,294986,69,0.609,0.16,0.609,0.923,4.73E-06,0.295,-3.908,0.0338,115.996,4
19,Unpretty,Fanmail,TLC,1995,1999-02-23,278066,62,0.648,0.00152,0.648,0.622,5.97E-05,0.109,-6.063,0.0428,88.684,4
