,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,Too Close,Rated Next,Next,1996,1997-09-30,259440,66,0.847,0.0118,0.847,0.402,0.0,0.283,-9.952,0.0641,99.693,4
21,The Boy Is Mine,Never Say Never,Brandy,1996,1998-05-29,294786,68,0.704,0.539,0.704,0.707,0.00106,0.318,-6.537,0.0391,93.145,4
22,You're Still The One,Come On Over,Shania Twain,1996,1997,212560,1,0.551,0.45,0.551,0.527,0.0,0.0867,-7.119,0.0302,133.758,4
23,Truly Madly Deeply,Savage Garden,Savage Garden,1996,1997-03-04,277266,74,0.555,0.403,0.555,0.698,0.0,0.0851,-8.874,0.0287,168.12,4
24,How Do I Live,Greatest Hits,LeAnn Rimes,1996,2003-11-18,266973,69,0.577,0.128,0.577,0.462,0.0,0.0822,-7.989,0.0279,128.303,4
25,Together Again,The Velvet Rope,Janet Jackson,1996,1997-10-07,301200,68,0.873,0.078,0.873,0.593,0.00697,0.104,-8.942,0.103,123.091,4
26,All My Life,Love Always,K-Ci & JoJo,1996,1997-01-01,331240,70,0.629,0.114,0.629,0.511,3.91E-06,0.0588,-8.651,0.0326,128.038,4
27,Candle In The Wind 1997,Candle In The Wind 1997 / Something About ...,Elton John,1996,1997-01-01,250106,56,0.45,0.977,0.45,0.311,0.00713,0.167,-8.175,0.0314,125.648,4
28,Nice & Slow - Live,Live,Usher,1996,1999-03-23,390760,21,0.499,0.102,0.499,0.713,1.1E-05,0.909,-10.036,0.19,121.86,4
29,I Don't Want to Wait,This Fire,Paula Cole,1996,1996,320026,60,0.41,0.298,0.41,0.468,1.19E-05,0.0426,-8.177,0.0553,177.508,4
30,How's It Going to Be,Third Eye Blind,Third Eye Blind,1996,1997-04-08,253413,65,0.562,0.00327,0.562,0.593,0.00139,0.0967,-9.362,0.0263,80.289,4
31,"No, No, No, Pt. 1",Destiny's Child,Destiny's Child,1996,1998-02-17,247040,43,0.694,0.19,0.694,0.368,0.0,0.14,-7.264,0.0655,60.117,4
32,"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,1996,1997-06-01,279760,0,0.19,0.699,0.19,0.276,2.77E-06,0.124,-11.697,0.0354,81.857,3
33,Gettin' Jiggy Wit It,Gettin' Jiggy Wit It,Will Smith,1996,1998,228493,0,0.866,0.0223,0.866,0.905,0.0,0.223,-3.759,0.144,107.874,4
34,You Make Me Wanna...,90 Sweet 90s Hits!,Various Artists,1996,2014-06-10,219546,42,0.761,0.0368,0.761,0.65,0.0,0.086,-6.865,0.0589,164.098,4
35,My Way,Live,Usher,1996,1999-03-23,217093,20,0.602,0.0363,0.602,0.725,0.0,0.863,-9.46,0.104,93.16,4
36,My All,Butterfly,Mariah Carey,1996,1997-09-03,230933,64,0.607,0.732,0.607,0.317,4.53E-05,0.086,-10.244,0.029,108.122,4
37,The First Night,The Boy Is Mine,Monica,1996,1998-07-13,235573,48,0.671,0.139,0.671,0.766,0.0,0.26,-9.218,0.0634,152.088,4
38,Been Around the World (feat. The Notorious B.I.G. & Mase),No Way Out,Diddy,1996,1997,325933,61,0.815,0.0191,0.815,0.529,0.0,0.406,-10.117,0.28,99.439,4
39,Adia,Surfacing,Sarah McLachlan,1996,1997-08-29,244666,56,0.526,0.722,0.526,0.37,0.0,0.157,-10.535,0.025,76.002,4
