,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
59,Shadow Dancing,Shadow Dancing,Andy Gibb,1978,1978-04-04,276000,47,0.74,0.15,0.74,0.598,0.0,0.0664,-9.658,0.0321,101.933,4
60,Night Fever,Number Ones,Bee Gees,1978,2004-01-01,209400,0,0.696,0.014,0.696,0.783,0.000101,0.0794,-6.341,0.0291,109.183,4
61,You Light Up My Life,The Best Of Debby Boone,Debby Boone,1978,2006-01-01,218933,0,0.322,0.855,0.322,0.282,1.04E-05,0.163,-12.516,0.0301,77.47,3
62,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Tales From The Brothers Gibb,Bee Gees,1978,1990-01-01,281666,0,0.712,0.0752,0.712,0.552,0.0012,0.15,-15.485,0.0363,103.604,4
63,Kiss You All Over,Choice Country Cuts,Exile,1978,2005-08-19,212080,19,0.703,0.362,0.703,0.475,1.7E-05,0.485,-9.529,0.0254,102.421,4
64,How Deep Is Your Love,Tales From The Brothers Gibb,Bee Gees,1978,1990-01-01,241360,0,0.623,0.271,0.623,0.189,2.24E-06,0.257,-17.374,0.0291,104.985,4
65,(Love Is) Thicker Than Water,Flowing Rivers,Andy Gibb,1978,1977-09-09,255960,44,0.582,0.137,0.582,0.462,4.98E-05,0.0755,-9.882,0.0254,96.361,4
66,Baby Come Back,The Best Of Player: Baby Come Back,Player,1978,1998-01-01,253733,49,0.684,0.151,0.684,0.563,0.000626,0.121,-9.244,0.115,155.145,4
67,Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey,A Taste Of Honey,1978,2006-01-01,338133,51,0.835,0.0991,0.835,0.522,0.00184,0.111,-10.828,0.0916,123.934,4
68,Three Times A Lady,All The Great Love Songs,Commodores,1978,1985,217426,52,0.39,0.874,0.39,0.0803,0.000639,0.127,-20.518,0.0306,150.503,3
69,Grease,Grease,Various Artists,1978,1978-09-14,205733,0,0.821,0.249,0.821,0.365,0.0,0.0883,-12.118,0.0676,109.638,4
70,I Go Crazy - Single Version,The Best of Paul Davis (Expanded Edition),Paul Davis,1978,1982,232266,39,0.531,0.422,0.531,0.391,5.54E-05,0.266,-9.606,0.0262,139.805,4
71,You're The One That I Want - From “Grease”,Gold,Olivia Newton-John,1978,2005-01-01,167613,0,0.743,0.256,0.743,0.774,5.03E-05,0.155,-5.916,0.0941,106.564,4
72,Emotion,Emotion,Samantha Sang,1978,1977-12-06,237293,56,0.52,0.76,0.52,0.364,1.36E-05,0.251,-9.484,0.0427,184.244,4
73,Lay Down Sally,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,1978,1977-11-01,236093,62,0.69,0.598,0.69,0.5,0.0288,0.11,-16.145,0.0909,191.539,4
74,Miss You - Remastered,Some Girls,The Rolling Stones,1978,1978-06-09,288666,69,0.795,0.443,0.795,0.71,0.0215,0.344,-4.746,0.0392,109.689,4
75,Just the Way You Are,The Stranger (Legacy Edition),Billy Joel,1978,1977,290573,71,0.589,0.703,0.589,0.453,2.54E-05,0.134,-8.912,0.0397,139.148,4
76,With A Little Luck - Remastered 1993,London Town,Wings,1978,1978-03-31,344773,48,0.652,0.069,0.652,0.372,0.000197,0.0923,-15.445,0.0321,111.984,4
77,"If I Can't Have You - From ""Saturday Night Fever""",Best Of/20th Century,Yvonne Elliman,1978,2004-01-01,177013,35,0.549,0.133,0.549,0.842,0.0,0.451,-6.458,0.0551,109.397,4
78,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) - Edit",Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1978,1979,227106,26,0.867,0.0227,0.867,0.52,0.0513,0.115,-15.043,0.0614,123.346,4
