,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,1991,1991-09-24,394133,65,0.526,0.0775,0.526,0.365,1.35E-05,0.0618,-12.605,0.028,131.253,4
21,I Wanna Sex You Up - Single Mix,New Jack City (Music from the Motion Picture),Various Artists,1991,1991-03-05,236946,55,0.551,0.00549,0.551,0.591,6.55E-06,0.0416,-8.404,0.12,201.799,4
22,Gonna Make You Sweat (Everybody Dance Now),Gonna Make You Sweat,C & C Music Factory,1991,1990-12-18,243693,57,0.557,0.0018,0.557,0.74,0.422,0.148,-10.999,0.0879,114.379,4
23,Rush Rush,Spellbound,Paula Abdul,1991,1991-01-01,292933,62,0.706,0.763,0.706,0.44,0.0,0.0958,-11.577,0.0493,90.012,4
24,One More Try,Time After Time,Timmy T,1991,1990-03-15,209426,47,0.641,0.191,0.641,0.573,0.0,0.317,-9.198,0.0485,149.826,5
25,Unbelievable,Schubert Dip,EMF,1991,1991-05-07,209813,0,0.637,0.000341,0.637,0.849,0.0386,0.141,-6.855,0.0362,104.074,4
26,More Than Words,Extreme II - Pornograffitti,Extreme,1991,1990-01-01,334106,66,0.626,0.467,0.626,0.134,0.0,0.113,-14.898,0.0298,91.893,4
27,I Like The Way,Greatest Hits,Hi-Five,1991,1990,350266,54,0.724,0.0595,0.724,0.692,0.0108,0.0316,-5.109,0.0333,104.086,4
28,The First Time,The First Time: The Best Of Surface,Surface,1991,1986,256000,29,0.637,0.215,0.637,0.354,0.000704,0.0961,-11.964,0.0283,126.435,4
29,"Baby, Baby",Heart In Motion,Amy Grant,1991,1991,236973,61,0.702,0.426,0.702,0.901,0.00153,0.0368,-4.45,0.0264,97.862,4
30,Motownphilly,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,1991,2003-10-07,235320,52,0.746,0.0146,0.746,0.852,3.02E-05,0.26,-9.676,0.0606,114.165,4
31,Because I Love You,Stevie B: The Greatest Hits,Stevie B,1991,2004,260026,0,0.402,0.666,0.402,0.351,0.0,0.13,-10.281,0.033,125.471,4
32,Someday,Greatest Hits,Mariah Carey,1991,2001-12-04,246706,28,0.685,0.165,0.685,0.874,0.0,0.0189,-6.508,0.0419,109.861,4
33,High Enough,Damn Yankees,Damn Yankees,1991,1990,287320,60,0.273,0.0241,0.273,0.537,0.0,0.0922,-9.612,0.0306,81.814,4
34,From a Distance,Some People's Lives,Bette Midler,1991,1990,276346,57,0.536,0.674,0.536,0.242,0.0,0.331,-11.716,0.0277,137.989,4
35,All The Man That I Need,I'm Your Baby Tonight,Whitney Houston,1991,1990-11-04,251426,54,0.496,0.43,0.496,0.571,0.0,0.0332,-9.958,0.0335,150.944,4
36,Right Here Right Now,Doubt,Jesus Jones,1991,1991-01-28,189293,55,0.657,0.0088,0.657,0.608,3.45E-06,0.103,-13.565,0.0287,106.862,4
37,I Adore Mi Amor,C.M.B.,Color Me Badd,1991,1991-07-23,289200,43,0.683,0.243,0.683,0.476,0.0,0.0786,-9.995,0.027,91.989,4
38,Love Will Never Do (Without You),Rhythm Nation 1814,Janet Jackson,1991,1989-09-19,350000,47,0.739,0.139,0.739,0.951,0.0062,0.462,-8.863,0.0496,103.17,4
39,Good Vibrations,Music For The People,Marky Mark And The Funky Bunch,1991,1991,269306,61,0.711,0.00189,0.711,0.951,0.366,0.0229,-8.406,0.0537,121.656,4
