,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
20,Silly Love Songs - Remastered 1993,Wings At The Speed Of Sound,Wings,1976,1976-03-25,352933,0,0.739,0.184,0.739,0.335,0.244,0.131,-16.23,0.0346,125.11,4
21,Don't Go Breaking My Heart,To Be Continued...,Elton John,1976,1990-11-08,271133,68,0.742,0.177,0.742,0.863,5.59E-06,0.0699,-7.823,0.038,131.193,4
22,Disco Lady,Eargasm,Johnnie Taylor,1976,1976,267066,37,0.719,0.0568,0.719,0.79,0.0,0.0573,-8.002,0.0521,103.751,4
23,"December, 1963 (Oh What a Night!)",The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1976,2003-01-14,201093,64,0.727,0.058,0.727,0.588,5.46E-06,0.0414,-9.568,0.0253,104.413,4
24,Play That Funky Music,Shaun White Snowboarding: Official Soundtrack,Various Artists,1976,2008-11-18,301800,54,0.822,0.124,0.822,0.87,0.0,0.045,-6.257,0.0592,109.174,4
25,Kiss and Say Goodbye,The Best Of The Manhattans: Kiss And Say Goodbye,The Manhattans,1976,1995-10-30,265626,48,0.587,0.399,0.587,0.376,2.8E-06,0.156,-13.52,0.0634,129.199,4
26,Love Machine,City Of Angels,The Miracles,1976,1975,415133,41,0.739,0.165,0.739,0.984,0.000287,0.0294,-4.52,0.0829,144.877,4
27,50 Ways to Leave Your Lover,Still Crazy After All These Years,Paul Simon,1976,1975-10-25,217346,70,0.815,0.166,0.815,0.372,0.000116,0.0767,-12.814,0.0752,101.684,4
28,Love Is Alive,The Dream Weaver,Gary Wright,1976,1975,230106,51,0.77,0.0614,0.77,0.553,0.00106,0.103,-13.632,0.0268,98.346,4
29,A Fifth Of Beethoven,Saturday Night Fever (The Original Movie Soundtrack),Various Artists,1976,1977-01-01,182533,0,0.692,0.292,0.692,0.508,0.759,0.061,-13.3,0.0426,108.75,4
30,Sara Smile,Daryl Hall & John Oates (The Silver Album),Daryl Hall & John Oates,1976,1975,185293,67,0.592,0.354,0.592,0.397,0.000894,0.119,-10.81,0.0676,150.038,3
31,Afternoon Delight,Starland Vocal Band,Starland Vocal Band,1976,2004-01-01,193040,0,0.491,0.529,0.491,0.439,0.0,0.102,-11.67,0.0301,147.062,4
32,I Write The Songs,The Greatest Songs Of The Seventies,Barry Manilow,1976,2007-09-18,239186,50,0.397,0.835,0.397,0.381,0.0,0.0829,-8.553,0.0294,148.649,4
33,Fly Robin Fly,Silver Convention - Fly Robin Fly,Silver Convention,1976,2010-09-20,230920,47,0.826,0.00719,0.826,0.406,0.731,0.0725,-14.153,0.0317,100.278,4
34,Love Hangover - Single Version,Diana Ross (Expanded Edition),Diana Ross,1976,1976-02-10,229373,43,0.5,0.306,0.5,0.761,0.00593,0.0431,-9.5,0.0415,111.539,4
35,Get Closer,Get Closer,Seals and Crofts,1976,1976,238146,53,0.653,0.434,0.653,0.437,6.74E-05,0.0689,-12.641,0.028,96.469,4
36,"More, More, More","More, More, More",Andrea True Connection,1976,2007-01-01,222613,50,0.663,0.517,0.663,0.792,0.000139,0.111,-5.476,0.0311,103.009,4
37,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,1976,1975-11-21,354320,74,0.392,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,143.883,4
38,Misty Blue,Misty Blue,Dorothy Moore,1976,1976,222400,0,0.39,0.7,0.39,0.236,0.00795,0.0843,-14.688,0.0291,173.154,3
39,Boogie Fever,Classic Masters,The Sylvers,1976,2010-01-01,208000,35,0.925,0.19,0.925,0.875,0.00495,0.0287,-5.743,0.0371,132.8,4
