Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
My Ding-A-Ling - Live,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,Chuck Berry,1972,258426,0.7070000000000001,0.792,0.509,0.0,0.545,-8.289,0.243,121.81299999999999,4,2
(If Loving You Is Wrong) I Don't Want to Be Right,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972,216800,0.502,0.28300000000000003,0.451,0.0,0.154,-7.422999999999999,0.0438,140.474,4,2
Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,1972,187013,0.541,0.18899999999999997,0.45899999999999996,0.0274,0.099,-10.433,0.0297,171.165,4,2
"Betcha By Golly, Wow",The Very Best of the Stylistics ... And More!,The Stylistics,1972,198986,0.373,0.535,0.505,0.0,0.327,-7.8870000000000005,0.0285,141.14600000000002,4,2
Ben - Single Version,Ben,Michael Jackson,1972,167386,0.435,0.9109999999999999,0.161,0.00021400000000000002,0.113,-10.84,0.0298,136.166,4,2
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tuneweaving,Tony Orlando & Dawn,1973,206253,0.5589999999999999,0.28300000000000003,0.615,0.0,0.0957,-12.27,0.0473,87.601,4,2
Killing Me Softly with His Song,Killing Me Softly,Roberta Flack,1973,286920,0.47700000000000004,0.727,0.381,0.0,0.0615,-10.237,0.0342,121.568,4,2
My Love - 1993 Digital Remaster,Red Rose Speedway,Paul McCartney,1973,247706,0.42100000000000004,0.255,0.326,0.0142,0.0787,-15.030999999999999,0.0339,120.228,4,2
Touch Me In The Morning,Touch Me In The Morning,Diana Ross,1973,207413,0.355,0.45399999999999996,0.615,0.0,0.0477,-7.21,0.0314,137.19,4,2
The Night The Lights Went Out In Georgia,The Night The Lights Went Out In Georgia (Deluxe Edition),Vicki Lawrence,1973,220520,0.455,0.846,0.41700000000000004,0.0,0.132,-13.446,0.168,172.015,4,2
Delta Dawn,Helen Reddy's Greatest Hits (And More),Helen Reddy,1973,191093,0.5660000000000001,0.5820000000000001,0.659,0.0,0.28600000000000003,-11.975999999999999,0.0893,78.729,4,2
Me and Mrs. Jones,360 Degrees Of Billy Paul,Billy Paul,1973,285760,0.303,0.38799999999999996,0.555,1.16e-06,0.46799999999999997,-9.259,0.0482,67.322,4,2
Frankenstein,The Best Of Edgar Winter,Edgar Winter,1973,285600,0.625,0.0595,0.733,0.88,0.16399999999999998,-12.127,0.0927,95.211,4,2
Drift Away,Throwback Tunes: 70s,Various Artists,1973,234300,0.508,0.325,0.46,0.0,0.648,-7.662000000000001,0.0404,75.836,4,2
You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,1973,178200,0.519,0.823,0.46,5.9699999999999994e-05,0.243,-14.53,0.0688,132.082,4,2
Half-Breed,Half-Breed,Cher,1973,167533,0.6459999999999999,0.524,0.467,0.0,0.32899999999999996,-12.677999999999999,0.0325,102.704,4,2
Seasons In The Sun,Hits Of The 70s (100 Songs),Various Artists,1974,206560,0.638,0.68,0.561,2.12e-06,0.253,-9.837,0.0414,100.09299999999999,4,2
